ticket_id,customer_id,ticket_date,issue_category,priority,resolution_hours,ticket_status,customer_satisfaction
TICK0000066,CUST00027,2024-09-22,Performance,Medium,57,Resolved,5
TICK0000067,CUST00027,2024-11-12,how-to question,Medium,42,Resolved,5
TICK0000068,CUST00028,2025-07-14,Technical Issue,Medium,49,Resolved,5
TICK0000069,CUST00031,2025-08-24,Integration,Low,71,Resolved,5
TICK0000070,CUST00031,2025-07-27,Performance,Low,78,Resolved,5
TICK0000071,CUST00031,2025-08-23,Integration,Low,75,Resolved,3
TICK0000072,CUST00032,2024-06-19,Billing,Urgent,17,Resolved,5
TICK0000073,CUST00033,2025-02-25,Integration,Low,78,Resolved,4
TICK0000074,CUST00033,2025-04-20,Performance,Low,112,Resolved,4
TICK0000075,CUST00033,2025-03-07,Billing,Low,80,Resolved,2
TICK0000076,CUST00034,2026-03-31,Billing,Low,50,Resolved,1
TICK0000077,CUST00034,2026-02-02,Feature Request,low,123,Resolved,4
TICK0000078,CUST00034,2026-07-01,Feature Request,Medium,48,Resolved,5
TICK0000079,CUST00034,2026-01-18,Feature Request,Low,74,Resolved,5
TICK0000080,CUST00034,2026-05-28,Feature Request,Low,68,Resolved,4
TICK0000081,CUST00034,2026-03-25,Billing,Medium,42,Resolved,2
TICK0000082,CUST00035,2026-04-02,Technical Issue,Medium,69,Resolved,4
TICK0000083,CUST00035,2026-04-06,Bug Report,Medium,43,Resolved,3
TICK0000084,CUST00035,2025-12-06,How-To Question,Low,120,Resolved,3
TICK0000085,CUST00035,2026-03-01,Feature Request,Medium,73,Resolved,3
TICK0000086,CUST00035,2026-05-16,Account Access,Low,73,Resolved,4
TICK0000087,CUST00035,2026-01-10,Performance,Medium,52,Resolved,4
TICK0000088,CUST00035,2026-02-02,Technical Issue,Low,94,Resolved,5
TICK0000089,CUST00036,2026-05-18,Feature Request,Medium,32,Resolved,4
TICK0000090,CUST00037,2026-08-17,Technical Issue,Medium,42,Pending,4
TICK0000091,CUST00037,2026-07-04,Technical Issue,Low,71,Pending,4
TICK0000092,CUST00037,2025-12-30,Integration,Medium,38,Resolved,5
TICK0000093,CUST00037,2024-12-18,Technical Issue,Medium,48,Pending,5
TICK0000094,CUST00038,2026-04-01,Technical Issue,Medium,27,Resolved,5
TICK0000095,CUST00038,2025-11-29,Technical Issue,Medium,15,Resolved,5
TICK0000096,CUST00039,2025-08-03,Billing,Medium,54,Resolved,4
TICK0000097,CUST00041,2026-07-30,Performance,Urgent,10,Resolved,5
TICK0000098,CUST00041,2026-08-21,Bug Report,Low,79,Resolved,5
TICK0000099,CUST00042,2026-01-08,Technical Issue,Low,114,Resolved,3
TICK0000100,CUST00042,2026-06-22,Account Access,Medium,101,Resolved,1
TICK0000101,CUST00043,2023-12-01,Account Access,Low,89,Open,2
TICK0000102,CUST00043,2023-12-24,Account Access,Low,60,Open,3
TICK0000103,CUST00043,2023-12-07,Feature Request,Low,25,Resolved,2
TICK0000104,CUST00043,2023-12-17,How-To Question,High,37,Open,2
TICK0000105,CUST00044,2025-08-06,How-To Question,Medium,56,Resolved,4
TICK0000106,CUST00044,2025-08-24,Billing,Urgent,18,Pending,5
TICK0000107,CUST00045,2026-05-16,Integration,Low,73,Resolved,5
TICK0000108,CUST00045,2024-11-30,Billing,Low,75,Resolved,5
TICK0000109,CUST00046,2025-03-20,Account Access,Low,98,Resolved,4
TICK0000110,CUST00047,2026-09-17,Account Access,Medium,41,Resolved,1
TICK0000111,CUST00047,2026-07-30,Account Access,Low,208,Resolved,2
TICK0000112,CUST00047,2026-09-16,Performance,Medium,110,Resolved,2
TICK0000113,CUST00047,2026-03-04,Performance,Low,253,Resolved,4
TICK0000114,CUST00047,2026-05-30,Technical Issue,High,50,Resolved,2
TICK0000115,CUST00047,2026-02-01,Account Access,Low,112,Resolved,2
TICK0000116,CUST00048,2025-03-26,Bug Report,Medium,180,Resolved,1
TICK0000117,CUST00048,2025-12-19,Technical Issue,Low,149,Pending,5
TICK0000118,CUST00048,2026-07-22,Account Access,High,33,Resolved,2
TICK0000119,CUST00048,2025-11-26,Technical Issue,Medium,24,Resolved,3
TICK0000120,CUST00049,2026-07-13,Feature Request,Low,97,Resolved,3
TICK0000121,CUST00049,2026-06-28,How-To Question,Low,157,Resolved,5
TICK0000122,CUST00049,2026-04-19,Billing,High,24,Resolved,2
TICK0000123,CUST00050,2026-06-06,How-To Question,Medium,73,Resolved,4
TICK0000124,CUST00050,2025-10-31,Billing,Medium,63,Resolved,4
TICK0000125,CUST00050,2025-10-18,Billing,Medium,60,Resolved,4
TICK0000126,CUST00052,2026-05-31,Bug Report,Medium,39,Resolved,4
TICK0000127,CUST00053,2025-11-10,Account Access,Low,85,Resolved,4
TICK0000128,CUST00053,2026-07-29,Technical Issue,Low,101,Resolved,4
TICK0000129,CUST00054,2026-06-03,Bug Report,Urgent,20,Resolved,4
TICK0000130,CUST00054,2026-07-11,Bug Report,Low,146,Resolved,2
TICK0000131,CUST00054,2026-05-07,Performance,Medium,92,Resolved,5
TICK0000132,CUST00054,2025-11-27,Performance,Low,149,Pending,2
TICK0000133,CUST00054,2024-08-16,Integration,High,45,Resolved,2
TICK0000134,CUST00054,2025-06-27,Bug Report,Medium,113,Pending,1
TICK0000135,CUST00054,2025-11-06,Integration,Low,83,Resolved,3
TICK0000136,CUST00055,2026-04-11,Billing,Low,53,Resolved,4
TICK0000137,CUST00055,2026-07-29,Billing, high,26,Resolved,3
TICK0000138,CUST00055,2026-01-07,Billing,Low,136,Resolved,5
TICK0000139,CUST00055,2025-10-02,Billing,Low,71,Resolved,4
TICK0000140,CUST00056,2026-01-11,Integration,Medium,43,Pending,5
TICK0000141,CUST00056,2026-09-18,Performance,Medium,39,Resolved,2
TICK0000142,CUST00058,2025-08-01,How-To Question,Medium,74,Resolved,4
TICK0000143,CUST00058,2026-01-25,How-To Question,Medium,74,Resolved,5
TICK0000144,CUST00058,2025-10-06,Account Access,Medium,29,Resolved,5
TICK0000145,CUST00059,2024-11-07,Billing,High,31,Open,3
TICK0000146,CUST00059,2024-12-25,Performance,Low,57,Resolved,4
TICK0000147,CUST00059,2024-11-27,Feature Request,Medium,63,Resolved,1
TICK0000148,CUST00060,2026-09-21,Integration,High,28,Open,1
TICK0000149,CUST00060,2026-07-17,Technical Issue,High,15,Resolved,1
TICK0000150,CUST00060,2026-09-09,Account Access,Low,133,Resolved,2
TICK0000151,CUST00061,2026-07-29,How-To Question,Low,71,Resolved,4
TICK0000152,CUST00062,2026-03-27,Account Access,Low,99,Resolved,5
TICK0000153,CUST00062,2026-08-03,Account Access,Low,70,Pending,5
TICK0000154,CUST00063,2024-07-13,How-To Question,Low,103,Resolved,5
TICK0000155,CUST00064,2026-04-22,Performance,Medium,51,Resolved,5
TICK0000156,CUST00064,2026-06-24,How-To Question,High,33,Pending,5
TICK0000157,CUST00064,2026-07-15,Account Access,Low,35,Resolved,4
TICK0000158,CUST00064,2026-08-02,How-To Question,High,42,Resolved,4
TICK0000159,CUST00065,2025-11-14,Integration,Medium,52,Resolved,5
TICK0000160,CUST00066,2024-12-07,How-To Question,Medium,8,Resolved,4
TICK0000161,CUST00067,2025-02-09,Performance,Low,17,Resolved,5
TICK0000162,CUST00067,2024-10-08,Billing,Medium,38,Resolved,2
TICK0000163,CUST00068,2026-03-09,Integration,Medium,51,Resolved,5
TICK0000164,CUST00068,2025-09-18,How-To Question,Medium,35,Resolved,5
TICK0000165,CUST00069,2026-09-16,How-To Question,Medium,13,Resolved,4
TICK0000166,CUST00070,2026-03-20,How-To Question,Medium,35,Pending,
TICK0000167,CUST00070,2025-06-26,Feature Request,Low,171,Resolved,4
TICK0000168,CUST00071,2026-02-20,Technical Issue,High,46,Resolved,2
TICK0000169,CUST00071,2026-04-07,Bug Report,Medium,18,Resolved,3
TICK0000170,CUST00071,2025-12-22,Technical Issue,Low,214,resolved,1
TICK0000171,CUST00071,09/27/2025,Bug Report,Low,139,Resolved,1
TICK0000172,CUST00071,2026-05-27,Bug Report,Medium,75,Resolved,2
TICK0000173,CUST00071,2026-02-13,Account Access,Low,164,Resolved,3
TICK0000174,CUST00071,2025-10-01,Performance,Low,50,Resolved,3
TICK0000175,CUST00071 ,2025-11-27,Performance,High,17,Resolved,1
TICK0000176,CUST00072,2026-01-23,Feature Request,High,41,Resolved,3
TICK0000177,CUST00072,2025-10-02,Feature Request,Low,95,Resolved,4
TICK0000178,CUST00072,2025-10-10,Feature Request,Low,70,Pending,3
TICK0000179,CUST00072,2025-12-15,How-To Question,High,23,Resolved,3
TICK0000180,CUST00074,2025-03-06,Technical Issue,Medium,99,Resolved,5
TICK0000181,CUST00075,2025-11-23,Feature Request,Medium,13,Resolved,5
TICK0000182,CUST00075,2025-07-20,Feature Request,Low,53,Resolved,3
TICK0000183,CUST00075,2025-04-30,How-To Question,Medium,27,Resolved,3
TICK0000184,CUST00076,2025-05-19,Technical Issue,Low,104,Resolved,5
TICK0000185,CUST00076,2026-01-14,How-To Question,Medium,70,Resolved,4
TICK0000186,CUST00077,2023-10-06,Feature Request,Low,98,Open,3
TICK0000187,CUST00077,2026-08-24,How-To Question,Low,90,Resolved,5
TICK0000188,CUST00077,2024-05-22,Feature Request,Low,75,Resolved,2
TICK0000189,CUST00077,2024-01-16,Performance,Low,94,Resolved,4
TICK0000190,CUST00078,2026-06-02,Technical Issue,Low,12,Resolved,5
TICK0000191,CUST00078 ,2026-05-13,Technical Issue,Medium,46,Resolved,4
TICK0000192,CUST00079,2024-07-22,Feature Request,Medium,76,Resolved,5
TICK0000193,CUST00080,2026-06-04,Account Access,High,30,Resolved,1
TICK0000194,CUST00080,2026-07-29,How-To Question,Low,117,Open,3
TICK0000195,CUST00080,2026-07-03,Account Access,Low,93,Resolved,5
TICK0000196,CUST00081,2025-10-20,Feature Request,High,21,Resolved,4
TICK0000197,CUST00081,2025-06-14,Bug Report,Medium,73,Resolved,1
TICK0000198,CUST00081,2026-01-23,Integration,Low,94,Resolved,4
TICK0000199,CUST00082,2026-08-15,Feature Request, high,41,Resolved,3
TICK0000200,CUST00082,2026-04-21,Integration,High,21,Resolved,5
TICK0000201,CUST00084,2025-04-06,Feature Request,Medium,49,Resolved,4
TICK0000202,CUST00084,2024-11-24,account access,High,15,Resolved,4
TICK0000203,CUST00084,2024-07-26,Feature Request,Low,26,Resolved,5
TICK0000204,CUST00086,2026-07-26,FEATURE REQUEST,Medium,32,Open,4
TICK0000205,CUST00086,2026-05-04,How-To Question,Medium,28,Resolved,3
TICK0000206,CUST00086,2025-11-28,Feature Request,Medium,93,Resolved,5
TICK0000207,CUST00086,2025-09-14,Performance,Medium,75,Resolved,3
TICK0000208,CUST00087,2026-03-19,Bug Report,Low,29,Resolved,1
TICK0000209,CUST00087,2026-07-17,Account Access,High,39,Pending,3
TICK0000210,CUST00087,2026-07-12,Performance,High,20,Resolved,1
TICK0000211,CUST00088,2025-08-05,How-To Question,Medium,21,Resolved,5
TICK0000212,CUST00088,2025-01-19,Integration,Medium,37,Resolved,2
TICK0000213,CUST00088,2025-04-04,Account Access,Medium,43,Resolved,5
TICK0000214,CUST00089,2026-08-16,Account Access,Low,57,Resolved,5
TICK0000215,CUST00089,2026-04-28,How-To Question,Medium,12,Resolved,4
TICK0000216,CUST00089,2025-11-01,Account Access,Medium,48,Resolved,3
TICK0000217,CUST00090,2025-03-24,How-To Question,Medium,54,Resolved,3
TICK0000218,CUST00091,2026-06-01,Feature Request,Low,54,Resolved,4
TICK0000219,CUST00091,2026-07-23,Performance,High,16,Open,5
TICK0000220,CUST00092,2026-08-12,How-To Question,High,31,Resolved,4
TICK0000221,CUST00093,2026-05-16,Account Access,Medium,71,Resolved,3
TICK0000222,CUST00093,2026-06-10,Technical Issue,Medium,64,Resolved,4
TICK0000223,CUST00093,2026-07-06,Account Access,Medium,41,Resolved,5
TICK0000224,CUST00093,2026-09-16,How-To Question,Low,90,Resolved,4
TICK0000225,CUST00094,2026-08-07,Performance,Medium,62,Resolved,4
TICK0000226,CUST00094,03/14/2026,Performance,High,29,Resolved,4
TICK0000227,CUST00095,2026-01-11,Integration,Medium,50,Pending,3
TICK0000228,CUST00095,2026-08-14,Performance,Low,60,Pending,3
TICK0000229,CUST00096,2026-05-09,Performance,Medium,50,Resolved,5
TICK0000230,CUST00096,2026-07-02,Feature Request,High,20,Resolved,3
TICK0000231,CUST00096,2026-07-29,Performance,Low,118,Resolved,4
TICK0000232,CUST00097,2026-09-08,Account Access,Low,45,Resolved,3
TICK0000233,CUST00097,2026-04-04,Feature Request,Low,69,resolved,
TICK0000234,CUST00097,2024-12-22,Bug Report,Low,101,Pending,2
TICK0000235,CUST00097,2025-02-06,Technical Issue,Low,70,Resolved,5
TICK0000236,CUST00098,2026-03-19,INTEGRATION,Medium,14,Resolved,1
TICK0000237,CUST00098,2025-12-10,Technical Issue,Low,75,Resolved,1
TICK0000238,CUST00098,2026-09-23,Integration,High,44,Resolved,2
TICK0000239,CUST00099,2025-04-14,Billing,Low,52,Resolved,4
TICK0000240,CUST00099,2024-12-24,How-To Question,Medium,27,Pending,5
TICK0000241,CUST00099,2025-08-16,How-To Question,High,28,Open,3
TICK0000242,CUST00099,2025-02-24,Billing,Low,109,Resolved,2
TICK0000243,CUST00100,2026-03-08,Account Access,Low,22,Resolved,1
TICK0000244,CUST00100,2026-05-11,How-To Question,Low,59,Pending,2
TICK0000245,CUST00100,2026-04-08,Feature Request,High,9,Resolved,4
TICK0000246,CUST00101,2025-11-10,Billing,Urgent,7,Resolved,2
TICK0000247,CUST00101,2025-06-02,Billing,Low,24,Resolved,4
TICK0000248,CUST00103,2025-02-23,Integration,Low,106,Resolved,4
TICK0000249,CUST00103,2026-01-30,Bug Report,Urgent,21,Resolved,5
TICK0000250,CUST00104,2026-01-27,Performance,Low,100,Resolved,5
TICK0000251,CUST00105,2024-06-03,Billing,Low,131,Resolved,4
TICK0000252,CUST00105,2025-10-01,Account Access,Low,50,Resolved,5
TICK0000253,CUST00105,2025-06-03,Account Access,Low,62,Resolved,5
TICK0000254,CUST00106,2026-06-13,How-To Question,Low,50,Resolved,3
TICK0000255,CUST00106,2026-01-02,FEATURE REQUEST,Medium,35,Resolved,4
TICK0000256,CUST00107,2025-11-15,How-To Question,Low,60,Pending,1
TICK0000257,CUST00107,2026-01-20,Performance,Low,40,Resolved,1
TICK0000258,CUST00107,2026-04-15,How-To Question,Medium,76,Resolved,4
TICK0000259,CUST00107,2025-08-25,Performance,Medium,35,Open,3
TICK0000260,CUST00107,2025-09-25,Feature Request,Low,78,Resolved,3
TICK0000261,CUST00107,2025-10-19,Feature Request,Low,125,Resolved,1
TICK0000262,CUST00107,2026-07-30,Feature Request,Low,116,Resolved,2
TICK0000263,CUST00107,2026-08-02,How-To Question,Low,65,Resolved,
TICK0000264,CUST00108,2025-09-01,Feature Request,Low,39,Resolved,5
TICK0000265,CUST00108,04/20/2026,Bug Report,Low,85,Resolved,4
TICK0000266,CUST00109,2026-08-11,Feature Request,High,53,Resolved,2
TICK0000267,CUST00109,2026-08-30,Feature Request,Low,75,Resolved,3
TICK0000268,CUST00109,2026-06-08,How-To Question,Low,38,Resolved,4
TICK0000269,CUST00109,2026-08-19,Feature Request,Low,66,Resolved,2
TICK0000270,CUST00110,2025-12-29,Bug Report,Medium,28,Resolved,1
TICK0000271,CUST00110,2026-03-09,Account Access,Low,154,Resolved,2
TICK0000272,CUST00110,2026-02-10,Bug Report,Low,141,Resolved,2
TICK0000273,CUST00111,2026-03-09,Account Access,Low,120,Pending,5
TICK0000274,CUST00111,2026-05-16,Account Access,High,7,Resolved,5
TICK0000275,CUST00112,2024-09-06,Billing,Low,49,Pending,1
TICK0000276,CUST00112,2024-03-12,Billing,High,32,Resolved,5
TICK0000277,CUST00113,2025-01-10,Technical Issue,High,44,Resolved,1
TICK0000278,CUST00113,2024-12-22,Bug Report,Low,82,Resolved,1
TICK0000279,CUST00114,2026-09-07,Billing,Low,41,Resolved,4
TICK0000280,CUST00115,2026-04-26,Integration,High,31,Resolved,5
TICK0000281,CUST00115,2026-07-19,Billing,Medium,49,Resolved,3
TICK0000282,CUST00115,2026-03-16,Billing,Low,101,Resolved,5
TICK0000283,CUST00115,2026-06-23,Account Access,Low,50,Resolved,4
TICK0000284,CUST00115,2025-09-27,Bug Report,High,35,Open,3
TICK0000285,CUST00115,2025-10-20,Integration,Medium,95,Open,3
TICK0000286,CUST00116,2024-02-17,How-To Question,Urgent,4,Resolved,3
TICK0000287,CUST00116,2024-12-06,Performance,Low,79,Resolved,4
TICK0000288,CUST00117,2026-08-19,Performance,Low,69,Resolved,5
TICK0000289,CUST00117,09/02/2026,Billing,Low,12,Resolved,3
TICK0000290,CUST00118,2025-01-26,Performance,Medium,8,Resolved,4
TICK0000291,CUST00118,2025-07-14,Performance,Medium,29,Open,5
TICK0000292,CUST00119,2026-04-20,Account Access,Medium,46,Pending,4
TICK0000293,CUST00119,2025-04-23,Bug Report,Low,154,Pending,2
TICK0000294,CUST00119,2025-08-19,Integration,Low,15,Resolved,1
TICK0000295,CUST00119,2025-07-25,Integration,Medium,127,Resolved,2
TICK0000296,CUST00119,2026-07-21,Technical Issue,Medium,30,Resolved,3
TICK0000297,CUST00120,2026-06-10,Account Access,Low,124,Resolved,3
TICK0000298,CUST00120,2025-11-16,Integration,Urgent,11,Resolved,4
TICK0000299,CUST00120,2025-03-05,Performance,Medium,8,Resolved,5
TICK0000300,CUST00121,2025-02-13,Integration,Medium,28,Resolved,4
TICK0000301,CUST00121,2026-08-14,Bug Report,Medium,26,Resolved,4
TICK0000302,CUST00121,2026-06-10,Billing,Medium,25,Pending,5
TICK0000303,CUST00121,2025-07-27,Account Access,Medium,61,Resolved,5
TICK0000304,CUST00122,2026-08-30,Feature Request,Medium,42,Resolved,3
TICK0000305,CUST00123,2026-02-19,How-To Question,Low,75,Resolved,3
TICK0000306,CUST00123,2026-05-12,Feature Request,Medium,50,Resolved,4
TICK0000307,CUST00123,2026-06-03,Feature Request,Low,72,Resolved,5
TICK0000308,CUST00124,2026-08-03,Feature Request,Medium,55,Resolved,2
TICK0000309,CUST00125,2026-03-06,How-To Question,Low,49,Resolved,5
TICK0000310,CUST00126,2025-08-31,Account Access,Medium,48,Resolved,2
TICK0000311,CUST00126,2025-05-01,Account Access,Medium,85,Resolved,3
TICK0000312,CUST00126,2025-09-03,bug report,Medium,39,Resolved,3
TICK0000313,CUST00126,2026-05-15,Technical Issue,Low,75,Resolved,1
TICK0000314,CUST00127,2025-07-14,Billing,Medium,47,Resolved,4
TICK0000315,CUST00127,2026-03-17,Technical Issue,Low,69,Resolved,4
TICK0000316,CUST00127,2025-12-24,Account Access,Low,57,Pending,4
TICK0000317,CUST00127,2025-08-28,Bug Report,Medium,39,Resolved,3
TICK0000318,CUST00128,2025-08-20,Performance,Medium,128,Resolved,1
TICK0000319,CUST00128,2025-12-04,Technical Issue,Low,133,Resolved,1
TICK0000320,CUST00129,2024-09-17,Bug Report,Low,133,Resolved,4
TICK0000321,CUST00129,2025-01-07,Bug Report,Medium,76,Resolved,5
TICK0000322,CUST00129,2024-09-08,Feature Request,Low,159,Resolved,5
TICK0000323,CUST00129,2024-11-08,How-To Question,Medium,20,Resolved,5
TICK0000324,CUST00129,2025-01-12,Bug Report,Low,107,Resolved,5
TICK0000325,CUST00130,2025-03-12,Account Access,Low,51,Resolved,4
TICK0000326,CUST00131,2025-03-02,Integration,Low,37,Pending,2
TICK0000327,CUST00131,2025-03-23,Integration,Low,46,Resolved,1
TICK0000328,CUST00131,2025-05-25,Integration,High,53,Resolved,1
TICK0000329,CUST00131,2024-11-26,Account Access,Low,128,Resolved,3
TICK0000330,CUST00131,2024-12-29,Performance,Medium,132,Resolved,2
TICK0000331,CUST00131,2025-07-15,Performance,High,66,Open,2
TICK0000332,CUST00131,2025-03-17,Account Access,Medium,36,Resolved,1
TICK0000333,CUST00133,2024-10-30,Account Access,Medium,23,Resolved,1
TICK0000334,CUST00133,2024-05-16,Integration,Medium,88,Resolved,4
TICK0000335,CUST00133,2024-03-09,Bug Report,Low,110,Resolved,3
TICK0000336,CUST00133,2024-06-17,Bug Report,Medium,77,Pending,4
TICK0000337,CUST00133,2024-03-23,Integration,Low,119,Resolved,2
TICK0000338,CUST00134,2026-05-11,Bug Report,Medium,57,Resolved,3
TICK0000339,CUST00134,2026-04-22,Account Access,High,9,Resolved,4
TICK0000340,CUST00134,2025-12-24,Feature Request,Low,45,Resolved,5
TICK0000341,CUST00135,2026-09-15,Performance,Low,120,Resolved,3
TICK0000342,CUST00135,2026-08-25,Integration,Low,165,Pending,2
TICK0000343,CUST00135,2026-09-22,Technical Issue,Medium,69,Resolved,3
TICK0000344,CUST00135,2026-09-23,Performance,Medium,120,Resolved,1
TICK0000345,CUST00136,2026-06-22,Performance,High,27,Resolved,2
TICK0000346,CUST00137,2026-04-19,Performance,Low,88,Resolved,4
TICK0000347,CUST00137,2026-05-13,Billing,Low,88,Resolved,4
TICK0000348,CUST00138,2026-04-17,Billing,Low,102,Resolved,3
TICK0000349,CUST00138,2026-02-11,Feature Request,Medium,68,Resolved,5
TICK0000350,CUST00138,2026-09-12,Bug Report,Low,127,Resolved,2
TICK0000351,CUST00139,2026-08-10,Feature Request,Low,26,Resolved,5
TICK0000352,CUST00139,2026-08-15,Technical Issue,Low,72,Resolved,1
TICK0000353,CUST00139,2026-06-26,Billing,Medium,40,Resolved,4
TICK0000354,CUST00141,2026-03-17,Performance,Medium,83,Pending,4
TICK0000355,CUST00141,2025-02-05,Performance,Low,58,Resolved,3
TICK0000356,CUST00142,2025-01-02,Feature Request,High,13,Resolved,4
TICK0000357,CUST00142,2024-05-13,Integration,Low,111,Resolved,3
TICK0000358,CUST00143,2025-03-10,Account Access,Low,32,Resolved,5
TICK0000359,CUST00143,2024-11-07,Feature Request,Low,84,Resolved,3
TICK0000360,CUST00143,2025-03-09,Feature Request,Low,77,Resolved,3
TICK0000361,CUST00144,2025-12-05,Feature Request,Low,12,Resolved,4
TICK0000362,CUST00144,01/13/2025,Performance,Low,88,Resolved,5
TICK0000363,CUST00144,2026-09-15,Bug Report,Medium,10,Resolved,5
TICK0000364,CUST00146,2025-06-18,Account Access,High,32,Resolved,4
TICK0000365,CUST00146,2025-12-19,Integration,Low,80,Resolved,4
TICK0000366,CUST00146,2024-09-15,Feature Request,Medium,66,Resolved,5
TICK0000367,CUST00146,2026-02-21,Performance,Low,52,Resolved,5
TICK0000368,CUST00147,2026-08-27,Bug Report,Low,46,Resolved,5
TICK0000369,CUST00147,2026-06-21,Bug Report,Low,56,Resolved,5
TICK0000370,CUST00147,2025-04-08,Account Access,Medium,82,Resolved,5
TICK0000371,CUST00148,2026-07-17,Performance,High,18,Resolved,4
TICK0000372,CUST00148,2026-06-27,Performance,Low,44,Resolved,5
