payment_id,transaction_id,customer_id,subscription_id,payment_date,payment_method,amount,paid_amount,payment_status
PAY00000108,TXN00000108,CUST00008,SUB00008,2026-07-01,Debit Card,4500,4500,Successful
PAY00000109,TXN00000109,CUST00008,SUB00008,2026-08-03,Debit Card,4500,4500,Successful
PAY00000110,TXN00000110,CUST00008,SUB00008,2026-09-04,Credit Card,4500,4500,Successful
PAY00000111,TXN00000111,CUST00009,SUB00009,2024-07-02,Bank Transfer,4500,4500,Successful
PAY00000112,TXN00000112,CUST00009,SUB00009,2024-08-01,Debit Card,4500,4500,Successful
PAY00000113,TXN00000113,CUST00009,SUB00009,2024-09-04,M-Pesa,4500,4500,Successful
PAY00000114,TXN00000114,CUST00009,SUB00009,2024-10-02,Debit Card,4500,4500,Successful
PAY00000115,TXN00000115,CUST00009,SUB00009,2024-11-06,M-Pesa,4500,4500,Late
PAY00000116,TXN00000116,CUST00009,SUB00009,2024-12-04,Bank Transfer,4500,4500,Successful
PAY00000117,TXN00000117,CUST00009,SUB00009,2025-01-02,Debit Card,4500,4500,Successful
PAY00000118,TXN00000118,CUST00009,SUB00009,2025-02-01,Debit Card,4500,4500,Successful
PAY00000119,TXN00000119,CUST00009,SUB00009,2025-03-04,M-Pesa,4500,4500,Successful
PAY00000120,TXN00000120,CUST00009,SUB00009,2025-04-05,Debit Card,4500,0,Failed
PAY00000121,TXN00000121,CUST00009,SUB00009,2025-05-02,Debit Card,4500,4500,Successful
PAY00000122,TXN00000122,CUST00009,SUB00009,2025-06-02,Bank Transfer,4500,4500,Successful
PAY00000123,TXN00000123,CUST00009,SUB00009,2025-07-01,Credit Card,4500,4500,Successful
PAY00000124,TXN00000124,CUST00009,SUB00009,2025-08-02,M-Pesa,4500,4500,Successful
PAY00000125,TXN00000125,CUST00009,SUB00009,2025-09-02,Debit Card,4500,4500,Successful
PAY00000126,TXN00000126,CUST00009,SUB00009,2025-10-02,Credit Card,4500,4500,Successful
PAY00000127,TXN00000127,CUST00009,SUB00009,2025-11-04,Bank Transfer,4500,4500,Successful
PAY00000128,TXN00000128,CUST00009,SUB00009,2025-12-04,Debit Card,4500,4500,Successful
PAY00000129,TXN00000129,CUST00009,SUB00009,2026-01-01,Bank Transfer,4500,4500,Successful
PAY00000130,TXN00000130,CUST00009,SUB00009,2026-02-08,M-Pesa,4500,0,Failed
PAY00000131,TXN00000131,CUST00009,SUB00009,2026-03-02,Credit Card,4500,4500,Successful
PAY00000132,TXN00000132,CUST00009,SUB00009,2026-04-02,Bank Transfer,4500,4500,Successful
PAY00000133,TXN00000133,CUST00009,SUB00009,2026-05-13,M-Pesa,4500,4500,Late
PAY00000134,TXN00000134,CUST00009,SUB00009,2026-06-02,Debit Card,4500,4500,Successful
PAY00000135,TXN00000135,CUST00009,SUB00009,2026-07-02,Debit Card,4500,4500,Successful
PAY00000136,TXN00000136,CUST00009,SUB00009,2026-08-12,Debit Card,4500,4500,Late
PAY00000137,TXN00000137,CUST00009,SUB00009,2026-09-02,Debit Card,4500,4500,Successful
PAY00000138,TXN00000138,CUST00010,SUB00010,2026-09-02,Bank Transfer,9000,9000,Successful
PAY00000139,TXN00000139,CUST00011,SUB00011,2024-12-04,Bank Transfer,1500,1500,Successful
PAY00000140,TXN00000140,CUST00011,SUB00011,2025-01-04,Debit Card,1500,0,Failed
PAY00000141,TXN00000141,CUST00011,SUB00011,2025-02-03,M-Pesa,1500,1500,successful
PAY00000142,TXN00000142,CUST00011,SUB00011,2025-03-03,Bank Transfer,"KES 1,500","KES 1,500",Successful
PAY00000143,TXN00000143,CUST00011,SUB00011,2025-04-03,Credit Card,1500,1500,Successful
PAY00000144,TXN00000144,CUST00011,SUB00011,2025-05-03,Credit Card,1500,1500,Successful
PAY00000145,TXN00000145,CUST00011,SUB00011,2025-06-02,Bank Transfer,1500,1500,Successful
PAY00000146,TXN00000146,CUST00011,SUB00011,2025-07-02,M-Pesa,1500,1500,Successful
PAY00000147,TXN00000147,CUST00011,SUB00011,2025-08-01,Debit Card,1500,1500,Successful
PAY00000148,TXN00000148,CUST00011,SUB00011,2025-09-04,Bank Transfer,1500,1500,Successful
PAY00000149,TXN00000149,CUST00011,SUB00011,2025-10-04,M-Pesa,1500,1500,Successful
PAY00000150,TXN00000150,CUST00011,SUB00011,2025-11-04,Credit Card,1500,1500,Successful
PAY00000151,TXN00000151,CUST00011,SUB00011,2025-12-03,Credit Card,1500,1500,Successful
PAY00000152,TXN00000152,CUST00011,SUB00011,2026-01-04,Debit Card,1500,1500,Successful
PAY00000153,TXN00000153,CUST00011,SUB00011,2026-02-07,Credit Card,1500,0,Failed
PAY00000154,TXN00000154,CUST00012,SUB00012,2025-05-04,Debit Card,18000,18000,Successful
PAY00000155,TXN00000155,CUST00012,SUB00012,2026-05-01,Bank Transfer,18000,18000,Successful
PAY00000156,TXN00000156,CUST00013,SUB00013,2026-04-20,Credit Card,4500,4500,Late
PAY00000157,TXN00000157,CUST00013,SUB00013,2026-05-04,Debit Card,4500,4500,Successful
PAY00000158,TXN00000158,CUST00013,SUB00013,2026-06-02,M-Pesa,4500,4500,Successful
PAY00000159,TXN00000159,CUST00013,SUB00013,2026-07-01,Credit Card,4500,4500,Successful
PAY00000160,TXN00000160,CUST00013,SUB00013,2026-08-01,Debit Card,4500,4500,Successful
PAY00000161,TXN00000161,CUST00013,SUB00013,2026-09-01,Debit Card,4500,4500,Successful
PAY00000162,TXN00000162,CUST00014,SUB00014,2025-10-02,Bank Transfer,4500,4500,Successful
PAY00000163,TXN00000163,CUST00014,SUB00014,2025-11-07,M-Pesa,4500,4500,Late
PAY00000164,TXN00000164,CUST00014,SUB00014,2025-12-02,Bank Transfer,4500,4500,Successful
PAY00000165,TXN00000165,CUST00014,SUB00014,2026-01-04,Debit Card,4500,4500,Successful
PAY00000166,TXN00000166,CUST00014,SUB00014,2026-02-03,M-Pesa,4500,4500,Successful
PAY00000167,TXN00000167,CUST00014,SUB00014,2026-03-04,Debit Card,4500,4500,Successful
PAY00000168,TXN00000168,CUST00014,SUB00014,2026-04-04,M-Pesa,4500,4500,Successful
PAY00000169,TXN00000169,CUST00014,SUB00014,2026-05-02,Credit Card,4500,4500,Successful
PAY00000170,TXN00000170,CUST00014,SUB00014,2026-06-01,Credit Card,4500,4500,Successful
PAY00000171,TXN00000171,CUST00014,SUB00014,2026-07-02,M-Pesa,4500,4500,Successful
PAY00000172,TXN00000172,CUST00014,SUB00014,2026-08-13,Bank Transfer,4500,4500,Late
PAY00000173,TXN00000173,CUST00014,SUB00014,2026-09-03,Debit Card,4500,4500,Successful
PAY00000174,TXN00000174,CUST00015,SUB00015,2025-07-04,M-Pesa,1500,1500,Successful
PAY00000175,TXN00000175,CUST00015,SUB00015,2025-08-01,Bank Transfer,1500,1500,Successful
PAY00000176,TXN00000176,CUST00015,SUB00015,2025-09-01,Credit Card,1500,1500,Successful
PAY00000177,TXN00000177,CUST00015,SUB00015,2025-10-03,M-Pesa,1500,1500,Successful
PAY00000178,TXN00000178,CUST00015,SUB00015,2025-11-04,Debit Card,1500,1500,Successful
PAY00000179,TXN00000179,CUST00015,SUB00015,2025-12-04,Bank Transfer,1500,1500,Successful
PAY00000180,TXN00000180,CUST00015,SUB00015,2026-01-01,M-Pesa,1500,1500,Successful
PAY00000181,TXN00000181,CUST00015,SUB00015,2026-02-01,Bank Transfer,1500,1500,Successful
PAY00000182,TXN00000182,CUST00015,SUB00015,2026-03-01,Bank Transfer,1500,1500,Successful
PAY00000183,TXN00000183,CUST00015,SUB00015,2026-04-03,M-Pesa,1500,1500,Successful
PAY00000184,TXN00000184,CUST00015,SUB00015,2026-05-04,Debit Card,1500,1500,Successful
PAY00000185,TXN00000185,CUST00015,SUB00015,2026-06-02,Debit Card,1500,1500,Successful
PAY00000186,TXN00000186,CUST00015,SUB00015,2026-07-21,Debit Card,1500,1500,Late
PAY00000187,TXN00000187,CUST00015,SUB00015,2026-08-03,Debit Card,1500,1500,Successful
PAY00000188,TXN00000188,CUST00015,SUB00015,2026-09-18,Debit Card,1500,1500,Late
PAY00000189,TXN00000189,CUST00016,SUB00016,2024-07-01,Credit Card,1500,1500,Successful
PAY00000190,TXN00000190,CUST00016,SUB00016,2024-08-04,Credit Card,1500,1500,Successful
PAY00000191,TXN00000191,CUST00016,SUB00016,2024-09-01,M-Pesa,1500,1500,Successful
PAY00000192,TXN00000192,CUST00016,SUB00016,2024-10-02,Credit Card,1500,1500,Successful
PAY00000193,TXN00000193,CUST00016,SUB00016,2024-11-02,Bank Transfer,1500,1500,Successful
PAY00000194,TXN00000194,CUST00016,SUB00016,2024-12-04,Bank Transfer,1500,1500,Successful
PAY00000195,TXN00000195,CUST00016,SUB00016,2025-01-13,Credit Card,1500,1500,Late
PAY00000196,TXN00000196,CUST00016,SUB00016,2025-02-01,Bank Transfer,1500,1500,Successful
PAY00000197,TXN00000197,CUST00016,SUB00016,2025-03-04,M-Pesa,1500,1500,Successful
PAY00000198,TXN00000198,CUST00016,SUB00016,2025-04-01,Debit Card,1500,1500,Successful
PAY00000199,TXN00000199,CUST00016,SUB00016,2025-05-01,Credit Card,1500,1500,Successful
PAY00000200,TXN00000200,CUST00016,SUB00016,2025-06-04,Bank Transfer,1500,1500,Successful
PAY00000201,TXN00000201,CUST00016,SUB00016,2025-07-02,Credit Card,1500,1500,Successful
PAY00000202,TXN00000202,CUST00016,SUB00016,2025-08-01,Bank Transfer,1500,1500,Successful
PAY00000203,TXN00000203,CUST00016,SUB00016,2025-09-01,Bank Transfer,1500,1500,Successful
PAY00000204,TXN00000204,CUST00016,SUB00016,2025-10-01,Debit Card,1500,1500,Successful
PAY00000205,TXN00000205,CUST00016,SUB00016,2025-11-02,M-Pesa,1500,1500,Successful
PAY00000206,TXN00000206,CUST00016,SUB00016,2025-12-03,Debit Card,1500,1500,Successful
PAY00000207,TXN00000207,CUST00016,SUB00016,2026-01-04,M-Pesa,1500,1500,Successful
PAY00000208,TXN00000208,CUST00016,SUB00016,2026-02-01,Credit Card,1500,1500,Successful
PAY00000209,TXN00000209,CUST00016,SUB00016,2026-03-02,M-Pesa,1500,1500,Successful
PAY00000210,TXN00000210,CUST00016,SUB00016,2026-04-02,Bank Transfer,1500,1500,Successful
PAY00000211,TXN00000211,CUST00016,SUB00016,2026-05-11,M-Pesa,1500,1500,Late
PAY00000212,TXN00000212,CUST00016,SUB00016,2026-06-04,Credit Card,1500,1500,Successful
PAY00000213,TXN00000213,CUST00016,SUB00016,2026-07-01,Debit Card,1500,1500,Successful
PAY00000214,TXN00000214,CUST00016,SUB00016,2026-08-04,Bank Transfer,1500,1500,Successful
PAY00000215,TXN00000215,CUST00016,SUB00016,2026-09-03,Bank Transfer,1500,1500,Successful
PAY00000216,TXN00000216,CUST00017,SUB00017,2024-08-02,M-Pesa,20000,20000,Successful
PAY00000217,TXN00000217,CUST00017,SUB00017,2024-09-19,Bank Transfer,20000,20000,Late
PAY00000218,TXN00000218,CUST00017,SUB00017,2024-10-03,Debit Card,20000,20000,Successful
PAY00000219,TXN00000219,CUST00017,SUB00017,2024-11-04,Debit Card,20000,20000,Successful
PAY00000220,TXN00000220,CUST00017,SUB00017,2024-12-02,Debit Card,20000,20000,Successful
PAY00000221,TXN00000221,CUST00017,SUB00017,2025-01-01,Credit Card,20000,20000,Successful
PAY00000222,TXN00000222,CUST00017,SUB00017,2025-02-03,Credit Card,20000,20000,Successful
PAY00000223,TXN00000223,CUST00017,SUB00017,2025-03-02,Credit Card,20000,20000,Successful
PAY00000224,TXN00000224,CUST00017,SUB00017,2025-04-01,Credit Card,20000,20000,Successful
PAY00000225,TXN00000225,CUST00017,SUB00017,2025-05-04,Bank Transfer,20000,20000,Successful
PAY00000226,TXN00000226,CUST00017,SUB00017,2025-06-03,Debit Card,20000,20000,Successful
PAY00000227,TXN00000227,CUST00017,SUB00017,2025-07-01,M-Pesa,20000,20000,Successful
PAY00000228,TXN00000228,CUST00017,SUB00017,2025-08-03,Credit Card,20000,20000,Successful
PAY00000229,TXN00000229,CUST00017,SUB00017,2025-09-03,M-Pesa,20000,20000,Successful
PAY00000230,TXN00000230,CUST00017,SUB00017,2025-10-04,M-Pesa,20000,20000,Successful
PAY00000231,TXN00000231,CUST00017,SUB00017,2025-11-01,Debit Card,20000,20000,Successful
PAY00000232,TXN00000232,CUST00017,SUB00017,2025-12-04,M-Pesa,20000,20000,Successful
PAY00000233,TXN00000233,CUST00017,SUB00017,2026-01-04,Credit Card,20000,20000,Successful
PAY00000234,TXN00000234,CUST00017,SUB00017,2026-02-03,Credit Card,20000,20000,Successful
PAY00000235,TXN00000235,CUST00017,SUB00017,2026-03-04,Debit Card,20000,20000,Successful
PAY00000236,TXN00000236,CUST00017,SUB00017,2026-04-04,M-Pesa,20000,20000,Successful
PAY00000237,TXN00000237,CUST00017,SUB00017,2026-05-03,Credit Card,20000,20000,Successful
PAY00000238,TXN00000238,CUST00017,SUB00017,2026-06-02,Bank Transfer,20000,20000,Successful
PAY00000239,TXN00000239,CUST00017,SUB00017,2026-07-03,Credit Card,20000,20000,Successful
PAY00000240,TXN00000240,CUST00017,SUB00017,2026-08-04,M-Pesa,20000,20000,Successful
PAY00000241,TXN00000241,CUST00017,SUB00017,2026-09-04,Debit Card,20000,20000,Successful
PAY00000242,TXN00000242,CUST00018,SUB00018,2024-07-02,Debit Card,1500,0,Failed
PAY00000243,TXN00000243,CUST00018,SUB00018,2024-08-02,Credit Card,1500,1500,Successful
PAY00000244,TXN00000244,CUST00018,SUB00018,2024-09-03,Credit Card,1500,1500,Successful
PAY00000245,TXN00000245,CUST00018,SUB00018,2024-10-01,M-Pesa,1500,1500,Successful
PAY00000246,TXN00000246,CUST00018,SUB00018,2024-11-02,Bank Transfer,1500,1500,Successful
PAY00000247,TXN00000247,CUST00018,SUB00018,2024-12-04,Bank Transfer,1500,1500,Successful
PAY00000248,TXN00000248,CUST00018,SUB00018,2025-01-03,Credit Card,1500,1500,Successful
PAY00000249,TXN00000249,CUST00018,SUB00018,2025-02-01,Debit Card,1500,1500,Successful
PAY00000250,TXN00000250,CUST00018,SUB00018,2025-03-02,Bank Transfer,1500,1500,Successful
PAY00000251,TXN00000251,CUST00018,SUB00018,2025-04-04,Credit Card,1500,1500,Successful
PAY00000252,TXN00000252,CUST00018,SUB00018,2025-05-01,Debit Card,1500,1500,Successful
PAY00000253,TXN00000253,CUST00018,SUB00018,2025-06-04,Bank Transfer,1500,1500,Successful
PAY00000254,TXN00000254,CUST00018,SUB00018,2025-07-01,Debit Card,1500,1500,Successful
PAY00000255,TXN00000255,CUST00018,SUB00018,2025-08-01,Bank Transfer,1500,1500,Successful
PAY00000256,TXN00000256,CUST00018,SUB00018,2025-09-01,Credit Card,1500,1500,Successful
PAY00000257,TXN00000257,CUST00018,SUB00018,2025-10-01,Debit Card,1500,1500,Successful
PAY00000258,TXN00000258,CUST00018,SUB00018,2025-11-04,M-Pesa,1500,1500,Successful
PAY00000259,TXN00000259,CUST00018,SUB00018,2025-12-01,M-Pesa,1500,1500,Successful
PAY00000260,TXN00000260,CUST00018,SUB00018,2026-01-01,Debit Card,1500,1500,Successful
PAY00000261,TXN00000261,CUST00018,SUB00018,2026-02-02,Bank Transfer,1500,1500,Successful
PAY00000262,TXN00000262,CUST00018,SUB00018,2026-03-01,Credit Card,1500,1500,Successful
PAY00000263,TXN00000263,CUST00018,SUB00018,2026-04-01,Credit Card,1500,1500,Successful
PAY00000264,TXN00000264,CUST00018,SUB00018,2026-05-08,M-Pesa,1500,0,Failed
PAY00000265,TXN00000265,CUST00018,SUB00018,2026-06-02,Credit Card,1500,1500,Successful
PAY00000266,TXN00000266,CUST00018,SUB00018,2026-07-04,M-Pesa,1500,1500,Successful
PAY00000267,TXN00000267,CUST00018,SUB00018,2026-08-01,Debit Card,1500,1500,Successful
PAY00000268,TXN00000268,CUST00018,SUB00018,2026-09-02,Debit Card,1500,1500,Successful
PAY00000269,TXN00000269,CUST00019,SUB00019,2024-12-04,Credit Card,1500,1500,Successful
PAY00000270,TXN00000270,CUST00019,SUB00019,2025-01-02,M-Pesa,1500,1500,Successful
PAY00000271,TXN00000271,CUST00019,SUB00019,2025-02-03,Bank Transfer,1500,1500,Successful
PAY00000272,TXN00000272,CUST00019,SUB00019,2025-03-04,Debit Card,1500,1500,Successful
PAY00000273,TXN00000273,CUST00019,SUB00019,2025-04-01,Credit Card,1500,1500,Successful
PAY00000274,TXN00000274,CUST00019,SUB00019,2025-05-01,Credit Card,1500,1500,Successful
PAY00000275,TXN00000275,CUST00019,SUB00019,2025-06-03,Bank Transfer,1500,1500,Successful
PAY00000276,TXN00000276,CUST00019,SUB00019,2025-07-03,M-Pesa,1500,1500,Successful
PAY00000277,TXN00000277,CUST00019,SUB00019,2025-08-06,Bank Transfer,1500,1500,Late
PAY00000278,TXN00000278,CUST00019,SUB00019,2025-09-04,Debit Card,1500,1500,Successful
PAY00000279,TXN00000279,CUST00019,SUB00019,2025-10-04,Bank Transfer,1500,1500,Successful
PAY00000280,TXN00000280,CUST00019,SUB00019,2025-11-01,Credit Card,1500,1500,Successful
