customer_id,company_name,industry,country,city,company_size,signup_date,acquisition_channel
CUST00043,Wise-Richmond,Healthcare,Nigeria,Accra,6-10,2023-11-07,Facebook
CUST00044,Hart-Moore,Real Estate,Ghana,Accra,6-10,2025-07-12,LinkedIn
CUST00045,Krueger-Crawford,Education,Uganda,Mombasa,1-5,2024-02-29,Sales Team
CUST00046,"Love, Lang and Perry",Technology,Rwanda,Kigali,51-200,2024-06-03,Organic Search
CUST00047,"Hunt, Meyer and Ortiz",Professional Services,Kenya,Kigali,11-50,2025-09-14,Google Ads
CUST00048,"Atkins, Craig and Gibson",Hospitality,Uganda,Nakuru,201-500,2024-12-12,LinkedIn
CUST00049,Anthony-Johnson,Construction,Rwanda,Kisumu,11-50,2026-04-11,LinkedIn
CUST00050,"Strickland, Smith and Wheeler",Hospitality,South Africa,Mombasa,51-200,2025-09-28,Google Ads
CUST00051,Moore and Sons,Retail,Nigeria,Lagos,1-5,2024-12-11,Google Ads
CUST00052,Smith and Sons,Hospitality,Uganda,Kigali,51-200,2025-10-08,LinkedIn
CUST00053,"Burke, Washington and English",Hospitality,South Africa,Kigali,1-5,2025-06-18,Facebook
CUST00054,Hughes LLC,Education,Kenya,Kigali,11-50,2024-05-27,LinkedIn
CUST00055,"Maldonado, Hayes and Humphrey",Healthcare,Rwanda,Lagos,51-200,2025-08-18,Facebook
CUST00056,Davis LLC,Hospitality,Tanzania,Nakuru,1-5,2025-07-06,Organic Search
CUST00057,"Smith, Newman and Wheeler",Technology,Kenya,Nairobi,201-500,2026-03-05,LinkedIn
CUST00058,"Soto, Richards and Todd",Logistics,South Africa,Lagos,6-10,2025-06-01,Organic Search
CUST00059,Salazar Ltd,Logistics,Kenya,Kisumu,1-5,2024-08-01,Google Ads
CUST00060,Evans Ltd,Hospitality,Rwanda,Mombasa,201-500,2026-05-25,Instagram
CUST00061,Salazar Group,Real Estate,Ghana,Nairobi,201-500,2025-04-17,Google Ads
CUST00062,"Strong, Finley and Boyer",Education,Nigeria,Johannesburg,201-500,2025-09-26,Partner
CUST00063,Green-Smith,Healthcare,Uganda,Dar es Salaam,6-10,2024-06-17,Referral
CUST00064,"Simpson, Oliver and Lee",Education,Uganda,Kampala,51-200,2025-12-04,Partner
CUST00065,Owens-Avila,Professional Services,Kenya,Accra,201-500,2025-09-30,Google Ads
CUST00066,Bishop PLC,Professional Services,Ghana,Nakuru,201-500,2024-01-25,Referral
CUST00067,Gibson-Arnold,Construction,Tanzania,Mombasa,6-10,2024-01-31,Partner
CUST00068,Callahan-Schneider,Healthcare,Uganda,Accra,201-500,2024-08-07,Referral
CUST00069,Baker-Lee,Real Estate,South Africa,Lagos,1-5,2026-08-01,Referral
CUST00070,Little-Lowe,Professional Services,Uganda,Kampala,1-5,2024-10-08,Google Ads
CUST00071,Mason Inc,Logistics,Uganda,Kampala,11-50,2025-09-08,Instagram
CUST00072,"Jones, Jones and Anderson",Technology,Uganda,Kampala,201-500,2025-09-27,LinkedIn
CUST00073,"Jimenez, Johnson and Graham",Healthcare,South Africa,Nairobi,1-5,2026-03-16,Sales Team
CUST00074,Cummings-Lopez,Healthcare,Kenya,Nairobi,11-50,2024-12-29,Facebook
CUST00075,"Cherry, Galvan and Craig",Healthcare,Uganda,Accra,201-500,2024-08-18,Sales Team
CUST00076,Burgess Group,Logistics,Kenya,Mombasa,1-5,2025-03-09,Facebook
CUST00077,Brown-Richards,Logistics,Kenya,Dar es Salaam,201-500,2023-09-28,Facebook
CUST00078,Butler-Gonzalez,Education,Uganda,Nairobi,11-50,2026-02-10,Partner
CUST00079,Atkins-Barker,Retail,Tanzania,Nakuru,6-10,2023-12-19,Google Ads
CUST00080,Burgess Ltd,Technology,South Africa,Lagos,51-200,2026-05-11,Facebook
CUST00081,Zimmerman-Shields,Hospitality,South Africa,Kisumu,6-10,2025-05-20,Sales Team
CUST00082,"Tapia, Soto and Barnes",Retail,Uganda,Dar es Salaam,51-200,2026-04-07,Instagram
CUST00083,"Reyes, Harvey and Ellison",Healthcare,Uganda,Mombasa,51-200,2024-07-06,Organic Search
CUST00084,Barr-Pearson,Manufacturing,Uganda,Nakuru,51-200,2024-03-03,Partner
CUST00085,Young Inc,Healthcare,South Africa,Nakuru,6-10,2025-06-21,Organic Search
CUST00086,Roberts Inc,Hospitality,Rwanda,Dar es Salaam,11-50,2025-02-17,Google Ads
CUST00087,Lozano PLC,Healthcare,Tanzania,Lagos,51-200,2026-03-13,Partner
CUST00088,Martin-Ellis,Retail,Kenya,Kampala,6-10,2023-10-28,Referral
CUST00089,Mann Ltd,Retail,Kenya,Johannesburg,51-200,2025-06-15,Partner
CUST00090,Cain-Griffith,Technology,Rwanda,Johannesburg,201-500,2024-09-11,Google Ads
CUST00091,Barnes-Wright,Education,Ghana,Nakuru,11-50,2025-09-25,Organic Search
CUST00092,Oliver-Garcia,Education,Kenya,Lagos,201-500,2025-11-09,Instagram
CUST00093,"Beck, Harris and Hawkins",Technology,Rwanda,Mombasa,11-50,2026-04-07,Partner
CUST00094,Daniels and Sons,Professional Services,Nigeria,Kampala,201-500,2025-09-03,Referral
CUST00095,Bates-Alvarez,Education,Tanzania,Kigali,11-50,2025-12-05,Facebook
CUST00096,"Russell, Farmer and Schultz",Hospitality,Rwanda,Kigali,6-10,2026-01-29,Referral
CUST00097,Hughes LLC,Education,Ghana,Nairobi,11-50,2024-03-04,Referral
CUST00098,Warner-Graham,Hospitality,Rwanda,Johannesburg,201-500,2025-08-08,Partner
CUST00099,Hall-Allen,Manufacturing,Rwanda,Accra,6-10,2024-12-04,LinkedIn
CUST00100,Walker LLC,Construction,Nigeria,Mombasa,11-50,2025-07-21,Partner
CUST00101,Franco Inc,Professional Services,South Africa,Nakuru,11-50,2025-03-16,Instagram
CUST00102,Black and Sons,Hospitality,Uganda,Nairobi,1-5,2026-04-19,Instagram
CUST00103,"Spencer, Bailey and Bryant",Manufacturing,Ghana,Mombasa,51-200,2024-10-16,Sales Team
CUST00104,"Perkins, Lewis and Williamson",Real Estate,Uganda,Kigali,51-200,2025-09-22,Sales Team
CUST00105,"Holland, Fields and Barnett",Hospitality,Uganda,Nairobi,1-5,2023-11-03,Sales Team
CUST00106,Carson-Walker,Hospitality,Uganda,Lagos,51-200,2025-06-27,Organic Search
CUST00107,Valencia Ltd,Logistics,Uganda,Mombasa,51-200,2025-08-12,Facebook
CUST00108,Long Group,Manufacturing,Nigeria,Lagos,201-500,2024-08-17,Partner
CUST00109,Jackson and Sons,Manufacturing,Ghana,Lagos,51-200,2026-06-04,LinkedIn
CUST00110,Casey Ltd,Construction,Nigeria,Accra,51-200,2025-12-07,Referral
CUST00111,Everett-Cameron,Hospitality,South Africa,Kampala,201-500,2026-03-08,LinkedIn
CUST00112,Wallace-Allen,Hospitality,Tanzania,Accra,1-5,2023-12-22,Referral
CUST00113,"Waters, Holden and Cruz",Hospitality,Tanzania,Dar es Salaam,11-50,2024-09-06,Google Ads
CUST00114,Cannon-Wallace,Construction,Uganda,Nakuru,51-200,2026-01-07,Facebook
CUST00115,"Ayers, Guerrero and Leach",Hospitality,Kenya,Kigali,51-200,2025-08-24,Partner
CUST00116,"Cooper, Miller and Mahoney",Logistics,Rwanda,Kigali,1-5,2023-10-26,Instagram
CUST00117,"Berry, Thornton and Jensen",Education,Rwanda,Johannesburg,1-5,2026-07-22,Sales Team
CUST00118,Campbell-Mclaughlin,Manufacturing,Kenya,Dar es Salaam,11-50,2024-10-24,Sales Team
CUST00119,Williams-Joyce,Education,Ghana,Lagos,201-500,2025-04-16,Instagram
CUST00120,Bowen-Cooper,Manufacturing,Uganda,Kampala,51-200,2025-02-24,LinkedIn
CUST00121,"Diaz, Bruce and Brown",Retail,Rwanda,Dar es Salaam,51-200,2024-02-16,Facebook
CUST00122,"Burke, Cummings and Friedman",Manufacturing,Uganda,Johannesburg,201-500,2026-04-17,Organic Search
CUST00123,Cabrera-Atkins,Education,Ghana,Johannesburg,1-5,2023-12-17,Google Ads
CUST00124,Ellison-Walker,Education,Uganda,Accra,6-10,2026-06-07,Organic Search
CUST00125,Harding-Ortega,Healthcare,Rwanda,Dar es Salaam,6-10,2024-06-28,LinkedIn
CUST00126,Miller-Fletcher,Technology,Tanzania,Kigali,11-50,2025-01-03,Sales Team
CUST00127,"Brown, Winters and Williams",Healthcare,South Africa,Mombasa,51-200,2025-04-02,Organic Search
CUST00128,Payne-Chase,Logistics,Kenya,Dar es Salaam,6-10,2024-01-02,Google Ads
CUST00129,Frank-Wolfe,Retail,South Africa,Nairobi,6-10,2024-08-22,Instagram
CUST00130,Horton PLC,Retail,Ghana,Kisumu,6-10,2024-02-27,Facebook
CUST00131,"Hughes, Freeman and Reed",Manufacturing,Nigeria,Mombasa,201-500,2024-11-26,Instagram
CUST00132,Herrera and Sons,Manufacturing,Nigeria,Kampala,11-50,2024-02-27,Facebook
CUST00133,May LLC,Real Estate,Ghana,Mombasa,6-10,2024-03-09,Referral
CUST00134,Daniels-Odonnell,Professional Services,Ghana,Nairobi,11-50,2025-09-17,Sales Team
CUST00135,Russell-Ross,Education,Nigeria,Nakuru,1-5,2026-08-18,Instagram
CUST00136,"Jones, Smith and Roberts",Professional Services,Nigeria,Kampala,201-500,2025-04-19,Google Ads
CUST00137,"Lewis, Holmes and Scott",Real Estate,South Africa,Nairobi,11-50,2026-03-03,Sales Team
CUST00138,Guzman-Raymond,Technology,Kenya,Lagos,11-50,2025-11-19,Organic Search
CUST00139,Thompson-Jones,Education,South Africa,Accra,1-5,2026-04-09,Sales Team
CUST00140,Davis-Duncan,Technology,Nigeria,Accra,6-10,2024-09-18,Sales Team
CUST00141,Bradford-Adkins,Construction,Nigeria,Lagos,11-50,2024-12-06,LinkedIn
CUST00142,"Hicks, Castillo and Rodriguez",Manufacturing,Rwanda,Johannesburg,11-50,2024-03-25,Partner
CUST00143,Rice Group,Hospitality,South Africa,Mombasa,11-50,2024-03-13,LinkedIn
CUST00144,Mitchell-Hunter,Hospitality,South Africa,Accra,201-500,2024-08-04,Sales Team
CUST00145,"Brennan, Espinoza and Russell",Technology,Kenya,Accra,11-50,2024-10-07,Facebook
CUST00146,"Gentry, Hall and Warren",Manufacturing,Uganda,Dar es Salaam,11-50,2024-07-26,Partner
CUST00147,Castro-Sweeney,Healthcare,Ghana,Kampala,201-500,2023-12-01,Organic Search
CUST00148,Ritter-Gomez,Logistics,Uganda,Mombasa,6-10,2026-06-21,Sales Team
CUST00149,"Warren, Hall and Baker",Manufacturing,Ghana,Nakuru,51-200,2025-05-13,LinkedIn
CUST00150,Garrett-Smith,Manufacturing,South Africa,Nairobi,1-5,2025-10-11,Referral
CUST00151,Ward Inc,Hospitality,Rwanda,Nakuru,11-50,2026-04-27,Partner
CUST00152,Montes Ltd,Manufacturing,Ghana,Lagos,11-50,2024-04-29,Sales Team
CUST00153,"Butler, Johnson and Henderson",Logistics,Tanzania,Dar es Salaam,51-200,2025-04-25,Referral
CUST00154,Garcia-Payne,Healthcare,Tanzania,Nakuru,1-5,2024-11-27,Instagram
CUST00155,"Sharp, Sanders and Roman",Technology,Kenya,Lagos,6-10,2026-01-16,Instagram
CUST00156,Graham-James,Hospitality,Nigeria,Accra,11-50,2026-08-07,Referral
CUST00157,Ross-Wright,Professional Services,South Africa,Nakuru,11-50,2024-09-20,Instagram
CUST00158,Roberts-Vaughn,Technology,Uganda,Kampala,1-5,2024-12-08,Facebook
CUST00159,Avila Inc,Healthcare,Kenya,Nairobi,201-500,2025-12-26,Referral
CUST00160,Mueller-Brewer,Construction,Nigeria,Accra,1-5,2026-01-28,Organic Search
CUST00161,Gonzales-White,Real Estate,Tanzania,Accra,51-200,2024-09-27,LinkedIn
CUST00162,"Keller, Allen and Murphy",Technology,Uganda,Nairobi,11-50,2023-12-10,LinkedIn
CUST00163,Stevens Group,Professional Services,South Africa,Mombasa,51-200,2025-10-16,LinkedIn
CUST00164,Taylor LLC,Professional Services,Ghana,Nairobi,6-10,2024-11-02,Facebook
CUST00165,Brown-Lewis,Real Estate,Tanzania,Mombasa,6-10,2024-09-24,Google Ads
CUST00166,"Rivera, Ballard and Reed",Logistics,South Africa,Kigali,201-500,2026-05-01,Instagram
CUST00167,"Barrett, Turner and Wolf",Logistics,Rwanda,Accra,51-200,2024-01-13,Referral
CUST00168,"Nguyen, Mitchell and Spencer",Real Estate,Rwanda,Kampala,201-500,2026-04-28,Organic Search
CUST00169,Smith LLC,Real Estate,Nigeria,Mombasa,6-10,2024-09-10,Instagram
CUST00170,Mitchell-Barton,Healthcare,Nigeria,Mombasa,6-10,2026-07-07,Instagram
CUST00171,Edwards and Sons,Construction,Ghana,Mombasa,6-10,2025-03-04,Organic Search
CUST00172,Rice Group,Education,Rwanda,Johannesburg,51-200,2024-07-20,Referral
CUST00173,Gilbert-Wolf,Retail,Uganda,Kampala,11-50,2024-03-01,LinkedIn
CUST00174,Rollins and Sons,Professional Services,Nigeria,Nakuru,11-50,2026-05-01,Instagram
CUST00175,Wilson-Munoz,Education,Kenya,Lagos,6-10,2025-03-28,Facebook
CUST00176,"Sanchez, Palmer and Powell",Healthcare,South Africa,Kisumu,1-5,2025-08-08,Organic Search
CUST00177,Adams-Jones,Construction,South Africa,Kampala,201-500,2026-02-07,Referral
CUST00178,Kirby-Holland,Manufacturing,Kenya,Accra,11-50,2024-12-22,Sales Team
CUST00179,Bradford-Stark,Healthcare,Ghana,Lagos,51-200,2025-06-02,LinkedIn
CUST00180,Glenn Group,Professional Services,Ghana,Nairobi,51-200,2025-02-09,Partner
CUST00181,Maddox-Johnson,Real Estate,Tanzania,Nairobi,1-5,2025-12-14,Instagram
CUST00182,"Mclaughlin, Flores and Daniels",Real Estate,Ghana,Nairobi,11-50,2024-01-07,Organic Search
CUST00183,Foster-Tapia,Construction,Rwanda,Lagos,51-200,2026-07-02,Referral
CUST00184,"Gardner, Martin and Mcclain",Construction,Ghana,Kigali,51-200,2026-02-01,Google Ads
CUST00185,Esparza-Vang,Manufacturing,Tanzania,Kigali,11-50,2024-06-22,Partner
CUST00186,"Boyd, Johnson and Jacobs",Professional Services,South Africa,Kisumu,11-50,2026-04-28,Sales Team
CUST00187,Chambers-Patel,Manufacturing,Tanzania,Kigali,201-500,2026-06-13,Organic Search
CUST00188,Nguyen-Garcia,Manufacturing,Kenya,Dar es Salaam,11-50,2025-02-12,Partner
CUST00189,Robinson-Hawkins,Professional Services,South Africa,Kigali,201-500,2025-05-06,Organic Search
CUST00190,Johnson-Collins,Logistics,Rwanda,Kigali,1-5,2024-05-31,Instagram
CUST00191,"Brennan, Oliver and Torres",Logistics,Tanzania,Johannesburg,51-200,2025-04-17,LinkedIn
CUST00192,Jackson Ltd,Retail,Uganda,Kampala,201-500,2025-01-16,Facebook
CUST00193,Olsen LLC,Healthcare,Rwanda,Accra,1-5,2026-06-12,Organic Search
CUST00194,Reynolds Group,Real Estate,South Africa,Nakuru,6-10,2023-11-23,Referral
CUST00195,Hill PLC,Logistics,Kenya,Lagos,51-200,2025-08-09,Google Ads
CUST00196,Barnett-Moore,Hospitality,South Africa,Mombasa,51-200,2025-12-10,Google Ads
CUST00197,Alvarez-Aguirre,Construction,Rwanda,Kampala,201-500,2025-10-27,Referral
CUST00198,Robinson PLC,Education,South Africa,Accra,51-200,2025-06-10,Instagram
CUST00199,"Pineda, Abbott and Young",Manufacturing,Ghana,Kisumu,51-200,2023-10-15,Instagram
CUST00200,Davis-Ingram,Real Estate,Ghana,Kisumu,1-5,2025-11-28,Referral
CUST00201,Pollard and Sons,Education,Tanzania,Lagos,11-50,2025-03-20,Organic Search
CUST00202,Evans PLC,Healthcare,Nigeria,Kampala,201-500,2025-01-21,LinkedIn
CUST00203,Escobar Group,Construction,Rwanda,Lagos,51-200,2024-01-16,Partner
CUST00204,Miller-Hughes,Technology,Ghana,Lagos,51-200,2024-01-18,LinkedIn
CUST00205,Cervantes PLC,Technology,South Africa,Nakuru,6-10,2024-03-03,Sales Team
CUST00206,Camacho-Williams,Hospitality,South Africa,Kigali,1-5,2024-05-12,Partner
CUST00207,Solis LLC,Manufacturing,Nigeria,Kigali,51-200,2025-04-10,Facebook
CUST00208,Smith PLC,Manufacturing,Kenya,Kisumu,201-500,2026-06-23,Partner
CUST00209,"Garner, Jones and Frazier",Professional Services,South Africa,Accra,1-5,2024-04-11,LinkedIn
CUST00210,"Joyce, Andrews and Banks",Retail,Nigeria,Kisumu,51-200,2023-11-24,Facebook
CUST00211,Massey Inc,Professional Services,Rwanda,Kampala,11-50,2024-06-30,Sales Team
CUST00212,Young-Smith,Professional Services,South Africa,Dar es Salaam,201-500,2025-06-24,Sales Team
CUST00213,Weber-Ortega,Technology,Nigeria,Accra,201-500,2025-05-01,Organic Search
CUST00214,Smith Group,Real Estate,Kenya,Nakuru,11-50,2025-03-30,Instagram
CUST00215,Shaw-Smith,Professional Services,Rwanda,Mombasa,1-5,2023-12-11,LinkedIn
CUST00216,Dunn-Delacruz,Construction,Nigeria,Kampala,1-5,2024-10-16,Organic Search
CUST00217,"Hoover, Lambert and Stevens",Technology,South Africa,Nairobi,11-50,2024-06-27,Partner
CUST00218,"Rogers, Chandler and Dorsey",Technology,Rwanda,Kisumu,6-10,2024-07-31,Sales Team
CUST00219,Delgado and Sons,Real Estate,Nigeria,Kisumu,6-10,2023-12-01,Facebook
CUST00220,"Murphy, Garza and Parker",Professional Services,Ghana,Kigali,201-500,2025-02-12,Instagram
CUST00221,"Ramos, Brown and Steele",Manufacturing,Ghana,Kisumu,6-10,2025-09-11,LinkedIn
CUST00222,Nelson LLC,Healthcare,Rwanda,Kampala,1-5,2024-10-31,LinkedIn
CUST00223,"Hughes, Gilbert and Maldonado",Healthcare,Nigeria,Lagos,6-10,2023-12-29,Google Ads
CUST00224,Nelson-Marshall,Manufacturing,Tanzania,Johannesburg,11-50,2025-12-25,Sales Team
CUST00225,Ramirez Group,Healthcare,Rwanda,Kampala,6-10,2025-12-10,Sales Team
CUST00226,"Sanchez, Green and Montgomery",Manufacturing,Kenya,Nakuru,51-200,2026-06-07,Partner
CUST00227,Holmes Inc,Real Estate,Tanzania,Kampala,1-5,2026-04-05,Sales Team
CUST00228,"Walker, Nixon and Armstrong",Healthcare,Kenya,Johannesburg,1-5,2025-07-01,LinkedIn
CUST00229,"Graham, Morales and Wilson",Healthcare,South Africa,Nakuru,201-500,2025-04-08,Partner
CUST00230,"Thomas, Martinez and Gallegos",Hospitality,Nigeria,Nakuru,201-500,2024-07-25,Referral
CUST00231,Jones-Kramer,Construction,Nigeria,Mombasa,1-5,2024-11-15,Referral
CUST00232,Lopez LLC,Manufacturing,Kenya,Johannesburg,11-50,2025-12-12,Facebook
CUST00233,White-Walker,Professional Services,Tanzania,Dar es Salaam,51-200,2024-11-06,Facebook
CUST00234,Kidd Group,Hospitality,Uganda,Lagos,11-50,2025-11-02,Referral
CUST00235,Morrison and Sons,Construction,Tanzania,Accra,11-50,2025-03-22,Partner
CUST00236,"Clark, Thompson and Johnston",Professional Services,Rwanda,Mombasa,6-10,2025-09-10,Instagram
CUST00237,"Holland, Robbins and Hernandez",Education,South Africa,Lagos,11-50,2023-10-06,Google Ads
CUST00238,Mora-Rodriguez,Education,Kenya,Kampala,201-500,2026-04-01,Google Ads
CUST00239,"Carrillo, Garcia and Anderson",Manufacturing,Tanzania,Kampala,201-500,2024-07-05,Sales Team
CUST00240,Ewing-Byrd,Technology,Kenya,Nakuru,51-200,2024-10-20,Organic Search
CUST00241,"Alexander, Nelson and Mullins",Real Estate,Ghana,Dar es Salaam,201-500,2025-10-08,Instagram
CUST00242,"Bates, White and Li",Professional Services,Nigeria,Accra,11-50,2025-12-15,Sales Team
CUST00243,Olson and Sons,Professional Services,Uganda,Nairobi,1-5,2024-11-22,Referral
CUST00244,Sullivan-Merritt,Manufacturing,Kenya,Mombasa,6-10,2025-01-17,Facebook
CUST00245,"Jones, Burns and Fitzgerald",Education,Rwanda,Dar es Salaam,201-500,2025-01-12,Sales Team
CUST00246,"Smith, Hamilton and Golden",Real Estate,Nigeria,Kisumu,51-200,2023-11-30,Google Ads
CUST00247,"Brooks, Stanley and Solis",Manufacturing,Ghana,Kigali,11-50,2024-05-11,Organic Search
CUST00248,"Lewis, Alexander and Carter",Technology,Uganda,Accra,51-200,2025-06-03,Instagram
CUST00249,Rosario-Vazquez,Technology,Kenya,Dar es Salaam,201-500,2023-12-13,Partner
CUST00250,Daniels and Sons,Retail,Rwanda,Kampala,6-10,2025-06-18,Google Ads
CUST00251,Dorsey and Sons,Manufacturing,Kenya,Nakuru,201-500,2024-05-24,Organic Search
CUST00252,Anderson Group,Retail,South Africa,Dar es Salaam,6-10,2026-02-13,Facebook
CUST00253,"Reid, Miller and Hernandez",Real Estate,Uganda,Mombasa,201-500,2024-01-02,Instagram
CUST00254,"Holmes, Buckley and Terrell",Real Estate,Uganda,Nakuru,11-50,2024-01-17,Facebook
CUST00255,Merritt-Turner,Real Estate,Kenya,Kampala,6-10,2025-12-02,Facebook
CUST00256,"Krueger, Villarreal and Carter",Logistics,Tanzania,Kisumu,1-5,2026-04-03,Organic Search
CUST00257,Turner-Rogers,Construction,Kenya,Dar es Salaam,6-10,2024-05-28,Partner
CUST00258,"Price, Dickerson and Smith",Retail,Uganda,Kampala,1-5,2025-10-20,Facebook
CUST00259,Woods and Sons,Education,Ghana,Mombasa,1-5,2025-12-10,LinkedIn
CUST00260,White Inc,Manufacturing,South Africa,Dar es Salaam,201-500,2024-10-27,Google Ads
CUST00261,Mcclure Inc,Manufacturing,Ghana,Nakuru,201-500,2024-01-09,Organic Search
CUST00262,Harris-Diaz,Logistics,Tanzania,Accra,1-5,2026-04-13,Organic Search
CUST00263,Williams and Sons,Manufacturing,South Africa,Kigali,51-200,2026-06-04,Google Ads
CUST00264,Ortega-Massey,Manufacturing,Nigeria,Accra,1-5,2023-12-27,Google Ads
CUST00265,Jones LLC,Technology,Ghana,Kisumu,1-5,2025-12-25,Facebook
CUST00266,"Smith, Williams and Watkins",Healthcare,Ghana,Johannesburg,201-500,2025-09-09,Partner
CUST00267,"Villegas, Martin and Ward",Education,Ghana,Lagos,11-50,2024-02-03,LinkedIn
CUST00268,Williams-Chan,Logistics,Ghana,Kigali,1-5,2024-09-07,Google Ads
CUST00269,"Mcintosh, Ray and Trujillo",Logistics,Nigeria,Nakuru,51-200,2026-02-25,LinkedIn
CUST00270,"Guzman, Nichols and Carter",Hospitality,Rwanda,Dar es Salaam,51-200,2026-04-14,Sales Team
CUST00271,"Ward, Fisher and Boyle",Education,Nigeria,Mombasa,11-50,2026-04-16,Sales Team
CUST00272,White-Gilbert,Technology,Nigeria,Kampala,11-50,2026-07-02,Facebook
CUST00273,Duarte PLC,Manufacturing,Kenya,Mombasa,1-5,2026-08-23,Google Ads
CUST00274,Salas-Jones,Education,Kenya,Dar es Salaam,6-10,2025-07-22,Organic Search
CUST00275,Goodman-Anderson,Real Estate,Ghana,Lagos,11-50,2025-09-17,Google Ads
CUST00276,"Hill, Nielsen and Ortega",Education,Tanzania,Kigali,1-5,2025-02-24,Referral
CUST00277,"Collins, George and Wang",Real Estate,Tanzania,Dar es Salaam,1-5,2026-03-24,Instagram
CUST00278,Alexander-Grant,Construction,Nigeria,Accra,6-10,2024-04-04,Google Ads
CUST00279,Hughes-Smith,Technology,South Africa,Lagos,11-50,2025-09-19,Google Ads
CUST00280,Simpson-Bennett,Healthcare,Ghana,Nakuru,51-200,2024-02-03,Organic Search
CUST00281,Williams PLC,Real Estate,Nigeria,Kampala,1-5,2026-06-30,Facebook
