activity_id,customer_id,month,login_count,session_minutes,invoices_created,reports_generated,active_users,features_used
ACT0000063,CUST00004,2024-08-01,22,841,11,7,4,2
ACT0000064,CUST00004,2024-09-01,14,373,23,7,2,5
ACT0000065,CUST00004,2024-10-01,25,587,33,8,6,5
ACT0000066,CUST00004,2024-11-01,34,647,61,0,4,4
ACT0000067,CUST00004,2024-12-01,21,379,44,2,4,3
ACT0000068,CUST00004,2025-01-01,18,565,39,11,2,4
ACT0000069,CUST00004,2025-02-01,28,554,46,11,3,4
ACT0000070,CUST00004,2025-03-01,26,477,55,9,2,5
ACT0000071,CUST00004,2025-04-01,16,642,20,11,4,4
ACT0000072,CUST00004,2025-05-01,27,576,57,11,4,3
ACT0000073,CUST00004,2025-06-01,18,489,54,6,3,7
ACT0000074,CUST00004,2025-07-01,21,404,50,7,1,6
ACT0000075,CUST00004,2025-08-01,17,506,39,8,1,4
ACT0000076,CUST00004,2025-09-01,29,689,26,10,2,4
ACT0000077,CUST00004,2025-10-01,20,516,54,8,3,6
ACT0000078,CUST00004,2025-11-01,17,488,52,9,3,2
ACT0000079,CUST00004,2025-12-01,24,263,36,11,5,1
ACT0000080,CUST00004,2026-01-01,24,452,21,9,3,4
ACT0000081,CUST00004,2026-02-01,23,406,41,6,2,6
ACT0000082,CUST00004,2026-03-01,29,243,49,12,7,5
ACT0000083,CUST00004,2026-04-01,14,594,27,6,4,3
ACT0000084,CUST00004,2026-05-01,14,569,65,11,5,6
ACT0000085,CUST00004,2026-06-01,26,567,51,3,4,4
ACT0000086,CUST00004,2026-07-01,23,430,47,5,2,4
ACT0000087,CUST00004,2026-08-01,28,498,33,6,4,7
ACT0000088,CUST00004,2026-09-01,13,601,46,5,6,5
ACT0000089,CUST00005,2024-10-01,16,221,37,7,1,3
ACT0000090,CUST00005,2024-11-01,25,206,38,7,4,4
ACT0000091,CUST00005,2024-12-01,21,388,34,9,4,5
ACT0000092,CUST00005,2025-01-01,14,411,28,7,6,4
ACT0000093,CUST00005,2025-02-01,13,581,53,4,7,5
ACT0000094,CUST00005,2025-03-01,27,720,48,7,6,5
ACT0000095,CUST00005,2025-04-01,27,679,22,10,3,5
ACT0000096,CUST00005,2025-05-01,21,513,56,3,1,2
ACT0000097,CUST00005,2025-06-01,28,383,38,7,2,6
ACT0000098,CUST00005,2025-07-01,20,464,40,10,2,6
ACT0000099,CUST00005,2025-08-01,30,286,41,7,5,3
ACT0000100,CUST00005,2025-09-01,32,258,35,9,2,3
ACT0000101,CUST00005,2025-10-01,23,511,39,10,3,5
ACT0000102,CUST00005,2025-11-01,18,372,35,6,3,6
ACT0000103,CUST00005,2025-12-01,20,400,39,8,1,4
ACT0000104,CUST00005,2026-01-01,19,474,49,8,6,4
ACT0000105,CUST00005,2026-02-01,34,430,28,9,6,2
ACT0000106,CUST00005,2026-03-01,20,408,41,8,6,4
ACT0000107,CUST00005,2026-04-01,32,452,52,8,7,2
ACT0000108,CUST00005,2026-05-01,14,774,29,5,2,6
ACT0000109,CUST00005,2026-06-01,13,503,35,11,2,5
ACT0000110,CUST00005,2026-07-01,13,841,36,8,7,4
ACT0000111,CUST00005,2026-08-01,34,438,49,6,1,5
ACT0000112,CUST00005,2026-09-01,26,302,35,11,5,4
ACT0000113,CUST00006,2026-04-01,16,792,17,7,1,6
ACT0000114,CUST00006,2026-05-01,19,526,68,6,7,4
ACT0000115,CUST00006,2026-06-01,18,895,33,3,4,4
ACT0000116,CUST00006,2026-07-01,22,479,62,9,1,5
ACT0000117,CUST00006,2026-08-01,15,462,24,14,2,6
ACT0000118,CUST00006,2026-09-01,18,326,38,9,5,1
ACT0000119,CUST00007,2024-01-01,12,643,23,8,1,6
ACT0000120,CUST00007,2024-02-01,25,609,47,12,1,3
ACT0000121,CUST00007,2024-03-01,25,669,26,5,2,2
ACT0000122,CUST00007,2024-04-01,12,312,31,8,4,4
ACT0000123,CUST00008,2025-03-01,17,518,17,10,6,4
ACT0000124,CUST00008,2025-04-01,15,631,30,8,3,7
ACT0000125,CUST00008,2025-05-01,18,488,34,5,3,6
ACT0000126,CUST00008,2025-06-01,15,245,43,7,4,4
ACT0000127,CUST00008,2025-07-01,14,392,6,9,2,4
ACT0000128,CUST00008,2025-08-01,12,479,19,7,4,3
ACT0000129,CUST00008,2025-09-01,10,250,10,4,4,5
ACT0000130,CUST00008,2025-10-01,9,176,19,2,1,5
ACT0000131,CUST00008,2025-11-01,5,200,20,5,3,3
ACT0000132,CUST00008,2025-12-01,6,124,10,1,4,3
ACT0000133,CUST00008,2026-01-01,5,82,8,0,5,3
ACT0000134,CUST00008,2026-02-01,3,97,4,0,4,3
ACT0000135,CUST00008,2026-03-01,2,80,7,1,4,6
ACT0000136,CUST00008,2026-04-01,3,89,7,1,1,3
ACT0000137,CUST00008,2026-05-01,4,74,4,1,3,1
ACT0000138,CUST00008,2026-06-01,1,84,5,1,2,4
ACT0000139,CUST00008,2026-07-01,2,63,1,0,3,4
ACT0000140,CUST00008,2026-08-01,4,116,3,0,3,5
ACT0000141,CUST00008,2026-09-01,2,56,7,1,5,3
ACT0000142,CUST00009,2024-06-01,19,449,26,11,1,5
ACT0000143,CUST00009,2024-07-01,17,562,30,10,2,6
ACT0000144,CUST00009,2024-08-01,19,300,43,7,1,5
ACT0000145,CUST00009,2024-09-01,26,692,30,8,4,7
ACT0000146,CUST00009,2024-10-01,15,430,24,3,4,7
ACT0000147,CUST00009,2024-11-01,18,367,38,9,3,7
ACT0000148,CUST00009,2024-12-01,15,456,40,9,4,3
ACT0000149,CUST00009,2025-01-01,36,464,38,9,2,5
ACT0000150,CUST00009,2025-02-01,16,562,33,8,1,3
ACT0000151,CUST00009,2025-03-01,11,393,4,7,2,5
ACT0000152,CUST00009,2025-04-01,22,688,72,11,3,4
ACT0000153,CUST00009,2025-05-01,27,247,34,7,5,5
ACT0000154,CUST00009,2025-06-01,16,437,44,5,6,5
ACT0000155,CUST00009,2025-07-01,23,558,32,6,3,5
ACT0000156,CUST00009,2025-08-01,23,436,49,7,2,5
ACT0000157,CUST00009,2025-09-01,14,246,39,6,3,3
ACT0000158,CUST00009,2025-10-01,31,400,33,9,1,2
ACT0000159,CUST00009,2025-11-01,25,433,27,9,2,4
ACT0000160,CUST00009,2025-12-01,16,545,57,2,4,6
ACT0000161,CUST00009,2026-01-01,19,330,46,11,5,5
ACT0000162,CUST00009,2026-02-01,23,365,51,10,1,5
ACT0000163,CUST00009,2026-03-01,26,632,39,5,2,3
ACT0000164,CUST00009,2026-04-01,21,462,69,10,5,5
ACT0000165,CUST00009,2026-05-01,19,458,36,8,4,5
ACT0000166,CUST00009,2026-06-01,20,410,20,11,8,6
ACT0000167,CUST00009,2026-07-01,13,618,54,6,4,4
ACT0000168,CUST00009,2026-08-01,33,554,26,10,6,5
ACT0000169,CUST00009,2026-09-01,25,489,24,7,5,4
ACT0000170,CUST00010,2026-08-01,21,441,31,10,4,4
ACT0000171,CUST00010,2026-09-01,16,717,53,7,1,1
ACT0000172,CUST00011,2024-11-01,19,163,28,11,8,5
ACT0000173,CUST00011,2024-12-01,20,477,41,12,3,5
ACT0000174,CUST00011,2025-01-01,31,593,26,7,2,1
ACT0000175,CUST00011,2025-02-01,22,966,44,5,3,4
ACT0000176,CUST00011,2025-03-01,11,375,51,11,3,6
ACT0000177,CUST00011,2025-04-01,31,610,35,7,4,4
ACT0000178,CUST00011,2025-05-01,18,574,43,7,3,5
ACT0000179,CUST00011,2025-06-01,17,260,62,4,1,4
ACT0000180,CUST00011,2025-07-01,21,648,41,7,4,6
ACT0000181,CUST00011,2025-08-01,27,396,54,9,4,2
ACT0000182,CUST00011,2025-09-01,30,421,34,2,2,2
ACT0000183,CUST00011,2025-10-01,22,552,39,7,1,3
ACT0000184,CUST00011,2025-11-01,26,441,19,6,1,3
ACT0000185,CUST00011,2025-12-01,21,741,34,8,1,4
ACT0000186,CUST00011,2026-01-01,14,633,54,9,7,5
ACT0000187,CUST00011,2026-02-01,15,520,36,4,5,8
ACT0000188,CUST00012,2025-04-01,15,496,49,8,5,4
ACT0000189,CUST00012,2025-05-01,22,318,29,7,1,3
ACT0000190,CUST00012,2025-06-01,21,519,44,6,4,3
ACT0000191,CUST00012,2025-07-01,24,678,41,11,4,6
ACT0000192,CUST00012,2025-08-01,20,346,38,5,8,4
ACT0000193,CUST00012,2025-09-01,24,498,21,2,5,7
ACT0000194,CUST00012,2025-10-01,15,251,32,5,2,5
ACT0000195,CUST00012,2025-11-01,20,375,44,10,3,5
ACT0000196,CUST00012,2025-12-01,24,563,37,12,5,4
ACT0000197,CUST00012,2026-01-01,18,416,45,6,3,6
ACT0000198,CUST00012,2026-02-01,23,679,48,4,3,6
ACT0000199,CUST00012,2026-03-01,13,562,37,2,4,3
ACT0000200,CUST00012,2026-04-01,13,501,12,5,9,5
ACT0000201,CUST00012,2026-05-01,15,710,25,6,1,5
ACT0000202,CUST00012,2026-06-01,31,350,11,11,7,2
ACT0000203,CUST00012,2026-07-01,25,533,28,3,5,5
ACT0000204,CUST00012,2026-08-01,24,406,28,0,3,7
ACT0000205,CUST00012,2026-09-01,16,271,46,9,2,4
ACT0000206,CUST00013,2026-03-01,21,476,47,15,1,6
ACT0000207,CUST00013,2026-04-01,19,686,43,8,5,4
ACT0000208,CUST00013,2026-05-01,14,583,24,9,4,1
ACT0000209,CUST00013,2026-06-01,14,500,30,0,6,5
ACT0000210,CUST00013,2026-07-01,19,377,41,13,2,7
ACT0000211,CUST00013,2026-08-01,18,313,61,9,5,4
ACT0000212,CUST00013,2026-09-01,12,430,53,7,3,7
ACT0000213,CUST00014,2025-09-01,18,576,45,7,4,5
ACT0000214,CUST00014,2025-10-01,17,622,28,5,1,4
ACT0000215,CUST00014,2025-11-01,15,439,42,2,1,3
ACT0000216,CUST00014,2025-12-01,22,543,25,11,2,5
ACT0000217,CUST00014,2026-01-01,17,369,28,10,4,6
ACT0000218,CUST00014,2026-02-01,23,258,63,9,5,4
ACT0000219,CUST00014,2026-03-01,27,336,44,1,5,3
ACT0000220,CUST00014,2026-04-01,22,703,47,11,6,4
ACT0000221,CUST00014,2026-05-01,24,241,28,12,3,2
ACT0000222,CUST00014,2026-06-01,34,584,47,5,4,5
ACT0000223,CUST00014,2026-07-01,16,474,17,6,5,3
ACT0000224,CUST00014,2026-08-01,34,284,34,6,3,7
ACT0000225,CUST00014,2026-09-01,15,432,47,8,4,3
ACT0000226,CUST00015,2025-06-01,19,669,15,5,1,5
ACT0000227,CUST00015,2025-07-01,27,472,22,5,3,4
ACT0000228,CUST00015,2025-08-01,25,399,40,7,2,4
ACT0000229,CUST00015,2025-09-01,22,637,31,4,5,3
ACT0000230,CUST00015,2025-10-01,21,496,34,6,5,1
ACT0000231,CUST00015,2025-11-01,27,363,40,9,6,5
ACT0000232,CUST00015,2025-12-01,15,259,31,2,2,4
ACT0000233,CUST00015,2026-01-01,16,506,34,7,1,3
ACT0000234,CUST00015,2026-02-01,24,620,12,5,6,3
ACT0000235,CUST00015,2026-03-01,20,716,32,6,3,7
ACT0000236,CUST00015,2026-04-01,24,502,30,9,5,3
ACT0000237,CUST00015,2026-05-01,26,477,38,5,3,3
ACT0000238,CUST00015,2026-06-01,14,556,33,4,8,3
ACT0000239,CUST00015,2026-07-01,29,278,45,7,2,5
ACT0000240,CUST00015,2026-08-01,22,378,27,3,4,3
ACT0000241,CUST00015,2026-09-01,23,588,42,5,5,4
ACT0000242,CUST00016,2024-06-01,11,457,42,5,5,3
ACT0000243,CUST00016,2024-07-01,16,343,43,7,2,4
ACT0000244,CUST00016,2024-08-01,1,616,32,0,1,4
ACT0000245,CUST00016,2024-09-01,12,619,41,9,1,4
ACT0000246,CUST00016,2024-10-01,15,356,31,4,4,6
ACT0000247,CUST00016,2024-11-01,25,479,60,11,3,4
ACT0000248,CUST00016,2024-12-01,29,651,19,11,3,3
ACT0000249,CUST00016,2025-01-01,8,459,36,12,5,4
ACT0000250,CUST00016,2025-02-01,23,623,38,6,2,5
ACT0000251,CUST00016,2025-03-01,23,456,3,4,5,1
ACT0000252,CUST00016,2025-04-01,29,655,38,9,5,4
ACT0000253,CUST00016,2025-05-01,12,645,56,4,1,4
ACT0000254,CUST00016,2025-06-01,17,521,54,1,7,4
ACT0000255,CUST00016,2025-07-01,25,592,48,8,4,5
ACT0000256,CUST00016,2025-08-01,18,236,22,7,2,3
ACT0000257,CUST00016,2025-09-01,34,628,35,10,3,5
ACT0000258,CUST00016,2025-10-01,25,437,29,11,5,1
ACT0000259,CUST00016,2025-11-01,17,382,31,10,4,2
ACT0000260,CUST00016,2025-12-01,19,581,36,6,4,7
ACT0000261,CUST00016,2026-01-01,25,695,32,7,3,5
ACT0000262,CUST00016,2026-02-01,25,362,48,3,1,8
ACT0000263,CUST00016,2026-03-01,18,609,63,1,6,5
ACT0000264,CUST00016,2026-04-01,33,322,59,5,6,4
ACT0000265,CUST00016,2026-05-01,27,507,13,0,4,4
ACT0000266,CUST00016,2026-06-01,25,462,67,8,3,5
ACT0000267,CUST00016,2026-07-01,19,513,23,7,3,3
ACT0000268,CUST00016,2026-08-01,35,337,40,5,4,3
ACT0000269,CUST00016,2026-09-01,28,805,27,11,3,7
ACT0000270,CUST00017,2024-07-01,33,464,16,10,4,5
ACT0000271,CUST00017,2024-08-01,16,355,48,8,1,6
ACT0000272,CUST00017,2024-09-01,20,423,54,6,3,6
ACT0000273,CUST00017,2024-10-01,18,265,37,6,5,5
ACT0000274,CUST00017,2024-11-01,17,300,32,10,2,4
ACT0000275,CUST00017,2024-12-01,11,273,33,8,7,4
ACT0000276,CUST00017,2025-01-01,15,255,42,9,6,6
ACT0000277,CUST00017,2025-02-01,17,338,37,7,5,6
ACT0000278,CUST00017,2025-03-01,13,212,51,9,3,5
ACT0000279,CUST00017,2025-04-01,14,508,11,6,7,5
ACT0000280,CUST00017,2025-05-01,21,221,47,11,1,4
ACT0000281,CUST00017,2025-06-01,12,172,31,10,3,5
ACT0000282,CUST00017,2025-07-01,13,318,26,9,1,5
ACT0000283,CUST00017,2025-08-01,17,263,26,10,4,6
ACT0000284,CUST00017,2025-09-01,12,84,49,14,6,1
ACT0000285,CUST00017,2025-10-01,13,257,21,8,3,5
ACT0000286,CUST00017,2025-11-01,12,198,28,5,1,2
ACT0000287,CUST00017,2025-12-01,10,427,28,5,1,5
ACT0000288,CUST00017,2026-01-01,16,480,38,8,2,4
ACT0000289,CUST00017,2026-02-01,13,271,33,7,2,4
ACT0000290,CUST00017,2026-03-01,4,349,63,6,4,6
ACT0000291,CUST00017,2026-04-01,16,276,13,8,4,4
ACT0000292,CUST00017,2026-05-01,11,312,39,8,3,5
ACT0000293,CUST00017,2026-06-01,10,357,27,8,1,4
ACT0000294,CUST00017,2026-07-01,13,206,31,0,1,3
ACT0000295,CUST00017,2026-08-01,12,330,34,6,3,6
ACT0000296,CUST00017,2026-09-01,12,269,50,13,1,5
ACT0000297,CUST00018,2024-06-01,38,542,36,7,4,6
ACT0000298,CUST00018,2024-07-01,11,481,7,7,2,5
ACT0000299,CUST00018,2024-08-01,9,397,46,5,1,5
ACT0000300,CUST00018,2024-09-01,14,429,26,13,1,9
ACT0000301,CUST00018,2024-10-01,14,463,28,6,2,5
ACT0000302,CUST00018,2024-11-01,9,470,8,8,5,3
ACT0000303,CUST00018,2024-12-01,19,415,54,5,9,1
ACT0000304,CUST00018,2025-01-01,14,193,57,7,3,5
ACT0000305,CUST00018,2025-02-01,14,311,19,8,4,6
ACT0000306,CUST00018,2025-03-01,22,126,34,11,3,1
ACT0000307,CUST00018,2025-04-01,8,384,38,10,2,5
ACT0000308,CUST00018,2025-05-01,9,360,35,5,7,2
ACT0000309,CUST00018,2025-06-01,12,238,57,9,2,4
ACT0000310,CUST00018,2025-07-01,18,218,13,8,4,5
ACT0000311,CUST00018,2025-08-01,14,459,14,4,5,3
ACT0000312,CUST00018,2025-09-01,6,467,15,6,3,6
ACT0000313,CUST00018,2025-10-01,4,337,24,9,2,7
ACT0000314,CUST00018,2025-11-01,8,78,25,7,6,3
ACT0000315,CUST00018,2025-12-01,7,386,18,7,3,5
ACT0000316,CUST00018,2026-01-01,9,216,39,5,1,6
ACT0000317,CUST00018,2026-02-01,13,459,44,4,4,3
ACT0000318,CUST00018,2026-03-01,6,259,46,8,1,4
ACT0000319,CUST00018,2026-04-01,11,147,43,7,1,2
ACT0000320,CUST00018,2026-05-01,15,265,49,12,6,4
ACT0000321,CUST00018,2026-06-01,3,327,60,7,1,3
ACT0000322,CUST00018,2026-07-01,10,201,4,7,2,7
ACT0000323,CUST00018,2026-08-01,12,342,33,8,1,3
ACT0000324,CUST00018,2026-09-01,15,318,30,9,5,7
ACT0000325,CUST00019,2024-11-01,20,340,33,9,5,2
ACT0000326,CUST00019,2024-12-01,21,365,28,10,5,3
ACT0000327,CUST00019,2025-01-01,19,419,70,8,2,6
ACT0000328,CUST00019,2025-02-01,28,768,61,10,3,4
ACT0000329,CUST00019,2025-03-01,18,439,50,8,5,6
ACT0000330,CUST00019,2025-04-01,13,242,21,6,4,4
ACT0000331,CUST00019,2025-05-01,25,420,40,8,7,3
ACT0000332,CUST00019,2025-06-01,35,410,19,7,10,6
ACT0000333,CUST00019,2025-07-01,24,619,27,8,4,7
ACT0000334,CUST00019,2025-08-01,20,443,22,8,4,3
ACT0000335,CUST00019,2025-09-01,24,534,51,11,4,3
ACT0000336,CUST00019,2025-10-01,16,764,39,13,4,6
ACT0000337,CUST00019,2025-11-01,28,316,42,4,3,5
ACT0000338,CUST00019,2025-12-01,14,583,19,11,2,3
ACT0000339,CUST00019,2026-01-01,12,413,13,6,6,4
ACT0000340,CUST00019,2026-02-01,13,533,41,13,5,5
ACT0000341,CUST00019,2026-03-01,28,479,39,12,1,6
ACT0000342,CUST00019,2026-04-01,21,456,32,8,3,4
ACT0000343,CUST00019,2026-05-01,17,214,29,6,4,7
ACT0000344,CUST00019,2026-06-01,18,346,29,8,5,6
ACT0000345,CUST00019,2026-07-01,27,645,35,14,3,5
ACT0000346,CUST00019,2026-08-01,31,584,9,8,5,2
ACT0000347,CUST00019,2026-09-01,27,558,56,5,5,5
ACT0000348,CUST00020,2025-05-01,30,917,53,9,8,5
ACT0000349,CUST00020,2025-06-01,14,494,44,10,1,3
ACT0000350,CUST00020,2025-07-01,17,580,42,8,2,7
ACT0000351,CUST00020,2025-08-01,13,695,44,11,3,4
ACT0000352,CUST00020,2025-09-01,20,428,38,12,1,4
ACT0000353,CUST00020,2025-10-01,15,485,34,10,4,5
ACT0000354,CUST00020,2025-11-01,23,536,45,7,7,8
ACT0000355,CUST00020,2025-12-01,25,534,44,4,4,3
ACT0000356,CUST00020,2026-01-01,24,391,32,2,1,5
ACT0000357,CUST00020,2026-02-01,15,659,25,9,2,5
ACT0000358,CUST00020,2026-03-01,11,432,26,10,4,3
ACT0000359,CUST00020,2026-04-01,19,384,51,11,1,6
ACT0000360,CUST00020,2026-05-01,16,462,39,13,1,6
ACT0000361,CUST00020,2026-06-01,13,313,39,8,1,6
ACT0000362,CUST00020,2026-07-01,7,478,57,14,3,2
ACT0000363,CUST00020,2026-08-01,31,629,33,6,2,4
ACT0000364,CUST00020,2026-09-01,24,415,33,9,1,4
ACT0000365,CUST00021,2025-12-01,9,516,11,10,1,2
ACT0000366,CUST00021,2026-01-01,16,733,43,2,1,4
ACT0000367,CUST00021,2026-02-01,31,337,23,12,4,6
ACT0000368,CUST00021,2026-03-01,13,440,50,7,6,5
ACT0000369,CUST00021,2026-04-01,11,437,46,10,3,2
ACT0000370,CUST00021,2026-05-01,7,222,28,6,1,6
ACT0000371,CUST00021,2026-06-01,9,241,36,10,8,5
ACT0000372,CUST00021,2026-07-01,22,251,60,2,2,5
ACT0000373,CUST00021,2026-08-01,7,273,21,7,6,5
ACT0000374,CUST00021,2026-09-01,12,48,40,10,1,4
ACT0000375,CUST00022,2025-03-01,21,644,26,5,3,6
ACT0000376,CUST00022,2025-04-01,26,496,47,0,5,3
ACT0000377,CUST00022,2025-05-01,30,340,24,9,5,4
ACT0000378,CUST00022,2025-06-01,22,574,40,6,5,7
ACT0000379,CUST00022,2025-07-01,12,373,36,4,1,6
ACT0000380,CUST00022,2025-08-01,6,439,46,8,3,3
ACT0000381,CUST00022,2025-09-01,23,351,40,8,4,4
ACT0000382,CUST00022,2025-10-01,34,553,33,8,2,4
ACT0000383,CUST00022,2025-11-01,36,384,36,6,1,5
ACT0000384,CUST00022,2025-12-01,21,636,47,10,2,5
ACT0000385,CUST00022,2026-01-01,25,346,34,3,5,5
ACT0000386,CUST00022,2026-02-01,31,465,44,10,2,3
ACT0000387,CUST00022,2026-03-01,16,447,26,5,5,4
ACT0000388,CUST00022,2026-04-01,23,417,30,8,4,6
ACT0000389,CUST00022,2026-05-01,30,396,51,4,8,3
ACT0000390,CUST00022,2026-06-01,27,336,37,12,2,8
ACT0000391,CUST00022,2026-07-01,21,646,44,9,1,4
ACT0000392,CUST00022,2026-08-01,31,448,41,3,2,6
ACT0000393,CUST00022,2026-09-01,13,607,42,7,3,4
ACT0000394,CUST00023,2026-06-01,17,639,29,13,4,4
ACT0000395,CUST00023,2026-07-01,25,593,15,4,3,2
ACT0000396,CUST00023,2026-08-01,32,623,34,6,2,2
ACT0000397,CUST00023,2026-09-01,9,785,54,6,5,5
ACT0000398,CUST00024,2024-08-01,23,286,13,11,1,4
ACT0000399,CUST00024,2024-09-01,17,430,38,5,4,5
ACT0000400,CUST00024,2024-10-01,32,292,35,9,3,2
ACT0000401,CUST00024,2024-11-01,27,550,19,9,7,4
ACT0000402,CUST00024,2024-12-01,19,735,23,13,5,3
ACT0000403,CUST00024,2025-01-01,15,421,12,8,2,5
ACT0000404,CUST00024,2025-02-01,12,638,45,5,4,5
ACT0000405,CUST00024,2025-03-01,29,345,35,6,4,5
ACT0000406,CUST00024,2025-04-01,17,445,49,12,4,4
ACT0000407,CUST00024,2025-05-01,19,582,40,3,5,3
ACT0000408,CUST00024,2025-06-01,12,249,35,4,1,4
ACT0000409,CUST00024,2025-07-01,18,477,29,13,5,4
ACT0000410,CUST00024,2025-08-01,21,712,51,3,2,3
ACT0000411,CUST00024,2025-09-01,19,410,39,10,5,4
ACT0000412,CUST00024,2025-10-01,11,343,31,4,6,3
ACT0000413,CUST00024,2025-11-01,26,247,48,7,7,3
ACT0000414,CUST00024,2025-12-01,18,444,37,6,3,4
ACT0000415,CUST00024,2026-01-01,8,649,79,8,1,3
ACT0000416,CUST00024,2026-02-01,26,557,35,10,1,6
ACT0000417,CUST00024,2026-03-01,24,350,19,8,6,4
ACT0000418,CUST00024,2026-04-01,16,528,64,9,5,6
ACT0000419,CUST00024,2026-05-01,25,382,16,5,1,5
ACT0000420,CUST00024,2026-06-01,27,526,21,13,3,5
ACT0000421,CUST00024,2026-07-01,23,531,47,5,6,2
ACT0000422,CUST00024,2026-08-01,14,693,48,15,4,7
ACT0000423,CUST00024,2026-09-01,9,287,51,2,3,6
ACT0000424,CUST00025,2024-06-01,23,501,29,8,5,4
ACT0000425,CUST00025,2024-07-01,22,661,32,8,4,5
ACT0000426,CUST00025,2024-08-01,25,347,28,6,2,2
ACT0000427,CUST00025,2024-09-01,0,679,16,12,5,4
ACT0000428,CUST00025,2024-10-01,23,563,21,7,2,5
ACT0000429,CUST00025,2024-11-01,15,485,34,8,7,4
ACT0000430,CUST00025,2024-12-01,28,571,55,6,5,4
ACT0000431,CUST00025,2025-01-01,2,336,43,9,1,5
ACT0000432,CUST00025,2025-02-01,24,494,46,9,3,4
ACT0000433,CUST00025,2025-03-01,28,569,19,8,1,3
ACT0000434,CUST00025,2025-04-01,17,506,42,6,3,4
